priority,ticker,name,current_status,promotion_group,normal_a_countable,blocker,evidence_to_add,action,client_explanation
11,9984.T,ソフトバンクG,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
12,6701.T,NEC,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
13,6723.T,ルネサス,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
14,6920.T,レーザーテック,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
15,4188.T,三菱ケミカルG,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
16,5108.T,ブリヂストン,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
17,1925.T,大和ハウス工業,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
18,9432.T,NTT,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:防御枠 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
19,7269.T,スズキ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
20,3402.T,東レ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
21,6861.T,キーエンス,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
22,7203.T,トヨタ自動車,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
23,7532.T,パン・パシフィック,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
24,6326.T,クボタ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
25,7832.T,バンダイナムコHD,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
26,6758.T,ソニーグループ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
27,9020.T,JR東日本,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
28,4503.T,アステラス製薬,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
29,6098.T,リクルートHD,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
30,7267.T,ホンダ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
31,4005.T,住友化学,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
32,6526.T,ソシオネクスト,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
33,9202.T,ANA HD,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
34,4543.T,テルモ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
35,2502.T,アサヒGHD,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
36,9022.T,JR東海,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
37,6902.T,デンソー,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
38,2801.T,キッコーマン,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
39,6273.T,SMC,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
40,4452.T,花王,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
41,9021.T,JR西日本,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
42,7270.T,SUBARU,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
43,2432.T,ディー・エヌ・エー,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
44,4568.T,第一三共,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
45,3092.T,ZOZO,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
46,3659.T,ネクソン,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
47,7974.T,任天堂,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
48,9843.T,ニトリHD,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
49,8113.T,ユニ・チャーム,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
50,6645.T,オムロン,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
51,4689.T,LINEヤフー,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
52,4661.T,オリエンタルランド,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
53,4385.T,メルカリ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
54,4755.T,楽天グループ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
55,4751.T,サイバーエージェント,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
56,4523.T,エーザイ,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
57,4911.T,資生堂,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
58,6869.T,シスメックス,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
59,6594.T,ニデック,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
60,2413.T,エムスリー,通常A未達（財務不足）,根拠準備中（公式財務不足）,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,公式決算短信・決算説明資料・証券会社画面でPER/PBR/ROEを埋め、同じゲートに再投入する。,スコア上は候補余地があるが、公式財務が不足しているため、現時点では通常Aに数えない。
61,6857.T,アドバンテスト,通常A未達（イベント不足）,根拠準備中（イベント不足）,PENDING,事業寄与・受注・売上比率の不足,イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 過熱:条件付き,決算後1日・5日・20営業日、6月イベント後、指数比を再取得する。,財務だけでなく、実際に株価が買われたかを確認してから通常Aに入れる。
62,8306.T,三菱UFJ FG,通常A未達（イベント不足）,根拠準備中（イベント不足）,PENDING,イベント後反応が通常A水準未達,イベント反応:未達,決算後1日・5日・20営業日、6月イベント後、指数比を再取得する。,財務だけでなく、実際に株価が買われたかを確認してから通常Aに入れる。
63,8766.T,東京海上HD,通常A未達（イベント不足）,根拠準備中（イベント不足）,PENDING,イベント後反応が通常A水準未達,イベント反応:未達 / 信頼度:不足,決算後1日・5日・20営業日、6月イベント後、指数比を再取得する。,財務だけでなく、実際に株価が買われたかを確認してから通常Aに入れる。
64,9983.T,ファーストリテイリング,通常A未達（イベント不足）,根拠準備中（イベント不足）,PENDING,イベント後反応が通常A水準未達,イベント反応:未達 / 信頼度:不足,決算後1日・5日・20営業日、6月イベント後、指数比を再取得する。,財務だけでなく、実際に株価が買われたかを確認してから通常Aに入れる。
65,4063.T,信越化学工業,通常A未達（イベント不足）,根拠準備中（イベント不足）,PENDING,イベント後反応が通常A水準未達,イベント反応:未達 / 質的根拠:補助,決算後1日・5日・20営業日、6月イベント後、指数比を再取得する。,財務だけでなく、実際に株価が買われたかを確認してから通常Aに入れる。
66,3407.T,旭化成,通常A未達（イベント不足）,根拠準備中（イベント不足）,PENDING,イベント後反応が通常A水準未達,イベント反応:未達 / 信頼度:不足,決算後1日・5日・20営業日、6月イベント後、指数比を再取得する。,財務だけでなく、実際に株価が買われたかを確認してから通常Aに入れる。
67,6367.T,ダイキン工業,通常A未達（イベント不足）,根拠準備中（イベント不足）,PENDING,イベント後反応が通常A水準未達,イベント反応:未達 / 質的根拠:補助 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,決算後1日・5日・20営業日、6月イベント後、指数比を再取得する。,財務だけでなく、実際に株価が買われたかを確認してから通常Aに入れる。
68,5801.T,古河電工,通常A未達（条件付き）,通常A未達（過熱・下落耐性）,NO,過熱または最大下落が大きい,過熱:条件付き,当日価格、60日/1年上昇率、最大下落率を再確認し、過熱が解消するまで条件付きに留める。,上昇力はあるが、急落時の振れ幅が大きく、通常Aの標準枠としてはリスクが高い。
69,5803.T,フジクラ,通常A未達（イベント不足）,通常A未達（過熱・下落耐性）,NO,過熱または最大下落が大きい,イベント反応:不足 / リスク:不足 / 過熱:条件付き,当日価格、60日/1年上昇率、最大下落率を再確認し、過熱が解消するまで条件付きに留める。,上昇力はあるが、急落時の振れ幅が大きく、通常Aの標準枠としてはリスクが高い。
70,8035.T,東京エレクトロン,通常A未達（イベント不足）,通常A未達（過熱・下落耐性）,NO,過熱または最大下落が大きい,イベント反応:不足 / リスク:不足 / 過熱:条件付き,当日価格、60日/1年上昇率、最大下落率を再確認し、過熱が解消するまで条件付きに留める。,上昇力はあるが、急落時の振れ幅が大きく、通常Aの標準枠としてはリスクが高い。
71,5802.T,住友電工,通常A未達（条件付き）,通常A未達（過熱・下落耐性）,NO,過熱または最大下落が大きい,過熱:条件付き,当日価格、60日/1年上昇率、最大下落率を再確認し、過熱が解消するまで条件付きに留める。,上昇力はあるが、急落時の振れ幅が大きく、通常Aの標準枠としてはリスクが高い。
72,6146.T,ディスコ,通常A未達（イベント不足）,通常A未達（過熱・下落耐性）,NO,過熱または最大下落が大きい,イベント反応:不足 / リスク:不足 / 過熱:条件付き,当日価格、60日/1年上昇率、最大下落率を再確認し、過熱が解消するまで条件付きに留める。,上昇力はあるが、急落時の振れ幅が大きく、通常Aの標準枠としてはリスクが高い。
