channel,candidateRank,ticker,name,role,currentJudgment,matched,dataCompletenessPct,quantGate,quantReason,universeRank,universeScore,decision,growthScore,qualityValuationScore,momentumScore,riskPenalty,per,pbr,roe,revenueYoy,profitYoy,ret60,ret1y,aboveMa200,maxDrawdown60,priceDate,nextAction
量子コンピューター,1,6702.T,富士通,国産量子コンピューター、HPC、企業向け計算基盤,長期探索,接続済み,100,観察,数値は接続できたが、購入候補化には追加確認が必要。,40,53,今回は見送り,17,19,3,2,18.07,2.77,23.87,-1.3,31.4,-12.5,0.8,-14.2,-20.8,2026-05-21,HPC、AI基盤、量子の寄与を分けて確認する
量子コンピューター,2,6701.T,NEC,量子アニーリング、量子活用サービス、AI/通信/防衛IT,長期探索,接続済み,89,保留,既存100社スコア50点未満,39,48,今回は見送り,17,12,6,2,,2.51,13.03,4.7,40.3,2.9,14.4,-13.3,-15.8,2026-05-21,量子関連案件と防衛IT・AI基盤の寄与を分ける
量子コンピューター,3,9432.T,NTT,IOWN、光電融合、量子暗号、次世代通信基盤,観察,接続済み,100,保留,既存100社スコア50点未満,9,40,今回は見送り,4,21,6,5,12.81,1.29,10.4,5.1,3.4,0.8,1,-0.9,-6.7,2026-05-21,通信安定枠としての役割を確認する
量子コンピューター,4,6501.T,日立製作所,研究開発、HPC、制御、産業DXへの量子活用余地,複合探索,接続済み,100,観察,数値は接続できたが、購入候補化には追加確認が必要。,17,53,今回は見送り,17,12,11,0,26.81,3.47,12.93,8.2,24.6,3.1,32.8,6.7,-14.6,2026-05-21,既存総合候補との重複評価を整理する
量子コンピューター,5,6503.T,三菱電機,量子暗号、防衛、FA、電力制御の周辺技術,観察,接続済み,100,観察,数値は接続できたが、購入候補化には追加確認が必要。,18,58,比較対象,17,13,14,0,26.09,2.76,9.67,6.8,10.5,7.7,108.2,29,-16.8,2026-05-21,量子ではなく電力・FA側の評価と接続する
量子コンピューター,6,9613.T,NTTデータグループ,量子計算の企業導入、SI、コンサル実装,補完後再判定,未接続,0,数値接続前,既存100社スクリーニング表に同一tickerがないため、購入候補判定には使わない。,,,,,,,,,,,,,,,,,,導入支援案件と財務指標を確認する
量子コンピューター,7,3687.T,フィックスターズ,高速化ソフト、量子アニーリング関連の調査候補,調査追加,未接続,0,数値接続前,既存100社スクリーニング表に同一tickerがないため、購入候補判定には使わない。,,,,,,,,,,,,,,,,,,公式IRと長期株価指標を確認する
量子コンピューター,8,4307.T,野村総合研究所,金融・企業向け高度計算、導入支援の可能性,周辺観察,未接続,0,数値接続前,既存100社スクリーニング表に同一tickerがないため、購入候補判定には使わない。,,,,,,,,,,,,,,,,,,量子関連案件が公式に確認できるか調べる
量子コンピューター,9,3626.T,TIS,企業向けIT、金融IT、先端技術導入支援の可能性,周辺観察,未接続,0,数値接続前,既存100社スクリーニング表に同一tickerがないため、購入候補判定には使わない。,,,,,,,,,,,,,,,,,,公式資料で量子関連案件の有無を確認する
量子コンピューター,10,4812.T,電通総研,企業DX、数理最適化、研究開発支援の可能性,周辺観察,未接続,0,数値接続前,既存100社スクリーニング表に同一tickerがないため、購入候補判定には使わない。,,,,,,,,,,,,,,,,,,量子・HPC・数理最適化関連の公式開示を確認する
