theme,event,chain,beneficiary_type,japan_examples,hypothesis_layer,evidence_layer,required_numbers,reject_condition,scoring_use
食品値上げ耐性,物価高、原材料高、値上げ後の数量維持,原材料高 -> 値上げ -> 数量維持できるブランド企業の利益率回復,食品、調味料、生活必需品、ブランド力企業,味の素、キッコーマン、花王などを候補化して確認,B,一部接続可,価格要因/数量要因、原材料費、営業利益率、国内外セグメント成長,値上げ後の数量減、原材料再上昇、PERが成長率を上回りすぎる,守り寄り候補の確認条件に使う。
防衛・安全保障,防衛予算、地政学リスク、装備更新,安全保障需要 -> 防衛予算増 -> 防衛電子、造船、航空宇宙、通信機器需要,防衛、重工、電子、通信、宇宙関連,三菱重工、川崎重工、IHI、NECなどを候補化して確認,A,未接続,防衛関連受注、受注残、売上比率、利益率、政府予算,受注が利益に結びつかない、採算悪化、政策変更,テーマ抽出。政策だけでは加点せず、受注と利益率を必須確認。
災害・インフラ強靭化,地震、水害、老朽インフラ、復旧・防災投資,災害リスク -> 防災/復旧/点検/通信維持需要 -> 建設、通信、発電、測量、資材需要,建設、通信、電力設備、測量、インフラ点検,建設、通信、電設、測量機器企業を候補化して確認,B,未接続,公共投資、受注、災害復旧関連売上、利益率、短期株価反応,一過性で利益貢献が小さい、資材高で利益率が悪化,社会インフラテーマ。倫理的配慮を含め、防災・復旧需要として整理。
新商品・ゲーム機サイクル,新型ゲーム機、主力商品の大型発売,新製品発売 -> ハード販売/ソフト販売/部品需要 -> プラットフォーム企業と部品供給企業に波及,ゲーム、電子部品、物流、小売,任天堂、関連部品・流通企業を候補化して確認,A,未接続,販売計画、初動販売、ソフト装着率、利益率、在庫、会社予想,供給不足、販売計画未達、期待先行で決算反応が弱い,個別イベント候補。決算数字と初動販売確認が通過条件。
TOB・M&A・大型提携,TOB、M&A、資本業務提携、大型顧客獲得,企業イベント -> 価格発見/シナジー期待/資本効率改善 -> 対象企業と関連企業の再評価,TOB対象、買収企業、同業再編候補,発生企業をイベントごとに個別登録,A,未接続,TOB価格、プレミアム、買収資金、EPS影響、同業比較、発表後リターン,買収条件不成立、希薄化、買収負担、材料出尽くし,通常のNISA 1年保有とは別枠で監視。発生後に個別検証。
自社株買い・増配・資本効率,自社株買い、増配、PBR改善、政策保有株売却,資本政策改善 -> EPS/ROE改善期待 -> 低PBR・現金保有企業の再評価,低PBR、キャッシュリッチ、株主還元強化企業,商社、金融、製造業などを候補化して確認,A,一部接続可,自社株買い規模、発行株比率、配当性向、ROE、PBR、FCF,一時的還元、業績悪化、FCF不足、還元後もROE改善しない,量的評価の質/還元項目へ接続可能。ただし発表だけでは加点しない。
インバウンド・観光,訪日客増加、円安、国際線回復,訪日客増 -> 宿泊/鉄道/小売/娯楽需要 -> レジャー・交通・百貨店に波及,鉄道、ホテル、レジャー、小売、外食,鉄道、空港、ホテル、百貨店、レジャー企業を候補化して確認,B,一部接続可,訪日客数、客単価、稼働率、既存店売上、営業利益率,円高、旅行需要鈍化、コスト増、人手不足で利益が伸びない,景気・為替感応候補として抽出。営業利益率確認が必須。
人手不足・省人化,賃上げ、人手不足、物流2024年問題、現場省人化,人件費上昇/人手不足 -> 自動化投資 -> FA、ロボット、ソフト、センサー需要,FA、ロボット、物流自動化、SaaS、センサー,キーエンス、ファナック、オムロン、物流機器企業などを候補化して確認,A,未接続,受注、設備投資統計、営業利益率、地域別需要、在庫循環,設備投資減速、中国需要鈍化、在庫調整、PER調整,中期テーマ候補。景気循環とPERリスクを同時確認。
医薬品承認・パイプライン,新薬承認、臨床試験成功、適応拡大,臨床/承認イベント -> 将来売上期待 -> 製薬企業・関連企業の再評価,製薬、バイオ、医療機器,中外製薬、第一三共、武田薬品などを候補化して確認,B,未接続,薬剤別売上、承認地域、ピークセールス、薬価、特許期限、研究開発費,臨床失敗、承認遅延、薬価改定、主力薬依存,個別イベントゲート。通常の景気循環と別に扱う。
サイバーセキュリティ,大規模障害、情報漏えい、規制強化,リスク顕在化 -> セキュリティ投資増 -> セキュリティ製品/運用/クラウド需要,セキュリティ、SI、クラウド運用、認証,セキュリティ専業、SI、通信系IT企業を候補化して確認,B,未接続,セキュリティ売上、ARR、受注、利益率、顧客数,テーマは強いが企業別売上比率が小さい、競争激化、利益率低下,テーマ候補抽出。企業別売上比率確認まで主候補化しない。
IPO・未上場メガイベント,大型IPO、未上場企業の資金調達、上場観測,IPO観測 -> 関連上場企業/取引先/投資会社の思惑 -> 実需と期待を分離して確認,直接上場企業、出資企業、取引先、類似上場企業,SpaceX、OpenAIなどは通常NISA対象外の可能性が高く、関連上場企業またはETF/投信で別枠監視,B,未接続,上場有無、NISA対象可否、出資比率、取引関係、関連企業の売上寄与,未上場のまま、NISA対象外、関連企業の寄与が小さい、思惑だけで株価反応が続かない,特別枠。通常候補スコアには混ぜない。
