queue_rank,priority,ticker,company,theme_name,trial_nisa_score,current_category,metric_group,metric_name,field,current_value,source_type,source_hint,verification_status,reflect_status,stop_reason,reason,hard_gate
15,S,8306.T,三菱UFJ FG,金利上昇・銀行保険,60.8,残す,下落耐性,60日最大下落率,max_drawdown60_pct,-14.8,株価時系列,三菱UFJ FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,なし
16,S,8306.T,三菱UFJ FG,金利上昇・銀行保険,60.8,残す,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,三菱UFJ FG IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,なし
17,A,8035.T,東京エレクトロン,AIデータセンター電力・冷却,67.8,保留,業績,売上成長率,revenue_yoy_pct,0.5,公式IR,東京エレクトロン IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,PBR10.8倍で高評価注意
18,A,8035.T,東京エレクトロン,AIデータセンター電力・冷却,67.8,保留,業績,利益成長率,profit_yoy_pct,-10.4,公式IR,東京エレクトロン IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,PBR10.8倍で高評価注意
19,A,8035.T,東京エレクトロン,AIデータセンター電力・冷却,67.8,保留,企業の質,ROE,roe_pct,29.56,公式IR/有報,東京エレクトロン IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,PBR10.8倍で高評価注意
20,A,8035.T,東京エレクトロン,AIデータセンター電力・冷却,67.8,保留,割安/過熱,PER,per,,株価データ/予想EPS,東京エレクトロン IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,PBR10.8倍で高評価注意
21,A,8035.T,東京エレクトロン,AIデータセンター電力・冷却,67.8,保留,割安/過熱,PBR,pbr,10.8,株価データ/BPS,東京エレクトロン IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,PBR10.8倍で高評価注意
22,A,8035.T,東京エレクトロン,AIデータセンター電力・冷却,67.8,保留,下落耐性,1年騰落率,ret1y_pct,108.9,株価時系列,東京エレクトロン IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,PBR10.8倍で高評価注意
23,A,8035.T,東京エレクトロン,AIデータセンター電力・冷却,67.8,保留,下落耐性,60日最大下落率,max_drawdown60_pct,-19.5,株価時系列,東京エレクトロン IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,PBR10.8倍で高評価注意
24,A,8035.T,東京エレクトロン,AIデータセンター電力・冷却,67.8,保留,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,東京エレクトロン IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,PBR10.8倍で高評価注意
25,A,4063.T,信越化学工業,ナフサ・原油・化学品,66,保留,業績,売上成長率,revenue_yoy_pct,,公式IR,信越化学工業 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,決算後反応未取得 / データ信頼度70未満
26,A,4063.T,信越化学工業,ナフサ・原油・化学品,66,保留,業績,利益成長率,profit_yoy_pct,,公式IR,信越化学工業 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,決算後反応未取得 / データ信頼度70未満
27,A,4063.T,信越化学工業,ナフサ・原油・化学品,66,保留,企業の質,ROE,roe_pct,,公式IR/有報,信越化学工業 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,決算後反応未取得 / データ信頼度70未満
28,A,4063.T,信越化学工業,ナフサ・原油・化学品,66,保留,割安/過熱,PER,per,,株価データ/予想EPS,信越化学工業 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,決算後反応未取得 / データ信頼度70未満
29,A,4063.T,信越化学工業,ナフサ・原油・化学品,66,保留,割安/過熱,PBR,pbr,,株価データ/BPS,信越化学工業 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,決算後反応未取得 / データ信頼度70未満
30,A,4063.T,信越化学工業,ナフサ・原油・化学品,66,保留,下落耐性,1年騰落率,ret1y_pct,50.8,株価時系列,信越化学工業 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,決算後反応未取得 / データ信頼度70未満
31,A,4063.T,信越化学工業,ナフサ・原油・化学品,66,保留,下落耐性,60日最大下落率,max_drawdown60_pct,-11.2,株価時系列,信越化学工業 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,決算後反応未取得 / データ信頼度70未満
32,A,4063.T,信越化学工業,ナフサ・原油・化学品,66,保留,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,信越化学工業 IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,決算後反応未取得 / データ信頼度70未満
33,A,2802.T,味の素,物価高・価格転嫁力,61.3,保留,業績,売上成長率,revenue_yoy_pct,,公式IR,味の素 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,決算後反応未取得 / データ信頼度70未満
34,A,2802.T,味の素,物価高・価格転嫁力,61.3,保留,業績,利益成長率,profit_yoy_pct,,公式IR,味の素 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,決算後反応未取得 / データ信頼度70未満
35,A,2802.T,味の素,物価高・価格転嫁力,61.3,保留,企業の質,ROE,roe_pct,,公式IR/有報,味の素 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,決算後反応未取得 / データ信頼度70未満
36,A,2802.T,味の素,物価高・価格転嫁力,61.3,保留,割安/過熱,PER,per,,株価データ/予想EPS,味の素 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,決算後反応未取得 / データ信頼度70未満
37,A,2802.T,味の素,物価高・価格転嫁力,61.3,保留,割安/過熱,PBR,pbr,,株価データ/BPS,味の素 IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,決算後反応未取得 / データ信頼度70未満
38,A,2802.T,味の素,物価高・価格転嫁力,61.3,保留,下落耐性,1年騰落率,ret1y_pct,57.1,株価時系列,味の素 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,決算後反応未取得 / データ信頼度70未満
39,A,2802.T,味の素,物価高・価格転嫁力,61.3,保留,下落耐性,60日最大下落率,max_drawdown60_pct,-15.9,株価時系列,味の素 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,決算後反応未取得 / データ信頼度70未満
40,A,2802.T,味の素,物価高・価格転嫁力,61.3,保留,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,味の素 IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,決算後反応未取得 / データ信頼度70未満
41,B,7011.T,三菱重工業,防衛・安全保障,59.2,保留,業績,売上成長率,revenue_yoy_pct,-1.1,公式IR,三菱重工 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,点数55〜62で追加確認
42,B,7011.T,三菱重工業,防衛・安全保障,59.2,保留,業績,利益成長率,profit_yoy_pct,26.7,公式IR,三菱重工 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,点数55〜62で追加確認
43,B,7011.T,三菱重工業,防衛・安全保障,59.2,保留,企業の質,ROE,roe_pct,12.22,公式IR/有報,三菱重工 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,点数55〜62で追加確認
44,B,7011.T,三菱重工業,防衛・安全保障,59.2,保留,割安/過熱,PER,per,34.66,株価データ/予想EPS,三菱重工 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,点数55〜62で追加確認
45,B,7011.T,三菱重工業,防衛・安全保障,59.2,保留,割安/過熱,PBR,pbr,4.26,株価データ/BPS,三菱重工 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,点数55〜62で追加確認
46,B,7011.T,三菱重工業,防衛・安全保障,59.2,保留,下落耐性,1年騰落率,ret1y_pct,30.7,株価時系列,三菱重工 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,点数55〜62で追加確認
47,B,7011.T,三菱重工業,防衛・安全保障,59.2,保留,下落耐性,60日最大下落率,max_drawdown60_pct,-24.5,株価時系列,三菱重工 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,点数55〜62で追加確認
48,B,7011.T,三菱重工業,防衛・安全保障,59.2,保留,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,三菱重工 IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,点数55〜62で追加確認
49,B,8316.T,三井住友FG,金利上昇・銀行保険,57.6,保留,業績,売上成長率,revenue_yoy_pct,6.1,公式IR,三井住友FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,決算後反応未取得 / データ信頼度70未満
50,B,8316.T,三井住友FG,金利上昇・銀行保険,57.6,保留,業績,利益成長率,profit_yoy_pct,34,公式IR,三井住友FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,決算後反応未取得 / データ信頼度70未満
51,B,8316.T,三井住友FG,金利上昇・銀行保険,57.6,保留,企業の質,ROE,roe_pct,10.38,公式IR/有報,三井住友FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,決算後反応未取得 / データ信頼度70未満
52,B,8316.T,三井住友FG,金利上昇・銀行保険,57.6,保留,割安/過熱,PER,per,13.61,株価データ/予想EPS,三井住友FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,決算後反応未取得 / データ信頼度70未満
53,B,8316.T,三井住友FG,金利上昇・銀行保険,57.6,保留,割安/過熱,PBR,pbr,1.47,株価データ/BPS,三井住友FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,決算後反応未取得 / データ信頼度70未満
54,B,8316.T,三井住友FG,金利上昇・銀行保険,57.6,保留,下落耐性,1年騰落率,ret1y_pct,69.9,株価時系列,三井住友FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,決算後反応未取得 / データ信頼度70未満
55,B,8316.T,三井住友FG,金利上昇・銀行保険,57.6,保留,下落耐性,60日最大下落率,max_drawdown60_pct,-18.3,株価時系列,三井住友FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,決算後反応未取得 / データ信頼度70未満
56,B,8316.T,三井住友FG,金利上昇・銀行保険,57.6,保留,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,三井住友FG IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,決算後反応未取得 / データ信頼度70未満
57,B,5020.T,ENEOS,ナフサ・原油・化学品,54.4,保留,業績,売上成長率,revenue_yoy_pct,,公式IR,ENEOS IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,決算後反応未取得 / データ信頼度70未満
58,B,5020.T,ENEOS,ナフサ・原油・化学品,54.4,保留,業績,利益成長率,profit_yoy_pct,,公式IR,ENEOS IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,決算後反応未取得 / データ信頼度70未満
59,B,5020.T,ENEOS,ナフサ・原油・化学品,54.4,保留,企業の質,ROE,roe_pct,,公式IR/有報,ENEOS IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,決算後反応未取得 / データ信頼度70未満
60,B,5020.T,ENEOS,ナフサ・原油・化学品,54.4,保留,割安/過熱,PER,per,,株価データ/予想EPS,ENEOS IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,決算後反応未取得 / データ信頼度70未満
61,B,5020.T,ENEOS,ナフサ・原油・化学品,54.4,保留,割安/過熱,PBR,pbr,,株価データ/BPS,ENEOS IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,決算後反応未取得 / データ信頼度70未満
62,B,5020.T,ENEOS,ナフサ・原油・化学品,54.4,保留,下落耐性,1年騰落率,ret1y_pct,90.9,株価時系列,ENEOS IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,決算後反応未取得 / データ信頼度70未満
63,B,5020.T,ENEOS,ナフサ・原油・化学品,54.4,保留,下落耐性,60日最大下落率,max_drawdown60_pct,-16.8,株価時系列,ENEOS IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,決算後反応未取得 / データ信頼度70未満
64,B,5020.T,ENEOS,ナフサ・原油・化学品,54.4,保留,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,ENEOS IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,決算後反応未取得 / データ信頼度70未満
65,B,6501.T,日立製作所,AIデータセンター電力・冷却,53.5,保留,業績,売上成長率,revenue_yoy_pct,8.2,公式IR,日立製作所 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,決算後反応未取得 / データ信頼度70未満
66,B,6501.T,日立製作所,AIデータセンター電力・冷却,53.5,保留,業績,利益成長率,profit_yoy_pct,24.6,公式IR,日立製作所 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,決算後反応未取得 / データ信頼度70未満
67,B,6501.T,日立製作所,AIデータセンター電力・冷却,53.5,保留,企業の質,ROE,roe_pct,12.93,公式IR/有報,日立製作所 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,決算後反応未取得 / データ信頼度70未満
68,B,6501.T,日立製作所,AIデータセンター電力・冷却,53.5,保留,割安/過熱,PER,per,26.81,株価データ/予想EPS,日立製作所 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,決算後反応未取得 / データ信頼度70未満
69,B,6501.T,日立製作所,AIデータセンター電力・冷却,53.5,保留,割安/過熱,PBR,pbr,3.47,株価データ/BPS,日立製作所 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,決算後反応未取得 / データ信頼度70未満
70,B,6501.T,日立製作所,AIデータセンター電力・冷却,53.5,保留,下落耐性,1年騰落率,ret1y_pct,32.8,株価時系列,日立製作所 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,決算後反応未取得 / データ信頼度70未満
71,B,6501.T,日立製作所,AIデータセンター電力・冷却,53.5,保留,下落耐性,60日最大下落率,max_drawdown60_pct,-14.6,株価時系列,日立製作所 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,決算後反応未取得 / データ信頼度70未満
72,B,6501.T,日立製作所,AIデータセンター電力・冷却,53.5,保留,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,日立製作所 IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,決算後反応未取得 / データ信頼度70未満
73,B,6503.T,三菱電機,AIデータセンター電力・冷却,48.8,保留,業績,売上成長率,revenue_yoy_pct,6.8,公式IR,三菱電機 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,決算後反応未取得 / データ信頼度70未満
74,B,6503.T,三菱電機,AIデータセンター電力・冷却,48.8,保留,業績,利益成長率,profit_yoy_pct,10.5,公式IR,三菱電機 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,決算後反応未取得 / データ信頼度70未満
75,B,6503.T,三菱電機,AIデータセンター電力・冷却,48.8,保留,企業の質,ROE,roe_pct,9.67,公式IR/有報,三菱電機 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,決算後反応未取得 / データ信頼度70未満
76,B,6503.T,三菱電機,AIデータセンター電力・冷却,48.8,保留,割安/過熱,PER,per,26.09,株価データ/予想EPS,三菱電機 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,決算後反応未取得 / データ信頼度70未満
77,B,6503.T,三菱電機,AIデータセンター電力・冷却,48.8,保留,割安/過熱,PBR,pbr,2.76,株価データ/BPS,三菱電機 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,決算後反応未取得 / データ信頼度70未満
78,B,6503.T,三菱電機,AIデータセンター電力・冷却,48.8,保留,下落耐性,1年騰落率,ret1y_pct,108.2,株価時系列,三菱電機 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,決算後反応未取得 / データ信頼度70未満
79,B,6503.T,三菱電機,AIデータセンター電力・冷却,48.8,保留,下落耐性,60日最大下落率,max_drawdown60_pct,-16.8,株価時系列,三菱電機 IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,決算後反応未取得 / データ信頼度70未満
80,B,6503.T,三菱電機,AIデータセンター電力・冷却,48.8,保留,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,三菱電機 IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,決算後反応未取得 / データ信頼度70未満
