rank,ticker,name,status,normal_a_ready,financial_gate,event_gate,qualitative_gate,risk_gate,ev_gate,reliability_gate,overheat_gate,expected_value_pct,risk_score,reliability,one_year_pct,max_dd5_pct,d20_excess_pct,financial_evidence,event_evidence,qualitative_evidence,blocking_reason,next_work
11,6146.T,ディスコ,通常A未達（イベント不足）,NO,通過,不足,通過,不足,通過,通過,条件付き,10.45,26.5,100.0,99.5,-65.2,0.0,売上+36.4%・営業利益+47.6%・親会社株主帰属利益+36.0%・EPS1082.34円・PBR12.32倍・ROE25.15%・PER約79倍を確認,最新イベント後反応未取得,半導体製造装置・精密加工: 2026年3月期は売上+36.4%・営業利益+47.6%・EPS+36.0%。3Q時点でも売上+48.4%・営業利益+58.3%と高成長。 / 成長実績は確認。ただしPER約79倍・PBR12.32倍で高い期待を織り込むため、質的テーマだけで購入候補化しない。,決算後1日・5日・20営業日の指数比未取得 / リスクスコア不足(26.5) / 過熱または5年最大下落が大きい,決算後20営業日または6月イベント後の指数比を再取得する。
12,8411.T,みずほFG,通常A未達（イベント不足）,NO,通過,未達,通過,通過,通過,不足,通過,8.57,50.9,62.0,82.1,-33.4,1.91,"経常収益9,085,438百万円(+0.6%)、経常利益1,573,159百万円(+34.6%)、親会社株主帰属当期純利益1,248,632百万円(+41.0%)、EPS502.92円、ROE11.4%、年間配当145円、翌期配当予想150円を確認。",2026年3月期 決算短信〔日本基準〕(連結) / 開示日基準 / D+1 -4.63% / D+5 4.74% / D+20 1.91% / 補助未達,銀行・金利・株主還元: 経常利益+34.6%、純利益+41.0%、ROE11.4%、増配予想を公式決算短信で確認。金利上昇局面の銀行候補として補助根拠化。 / 金利上昇だけで買付根拠にしない。イベント反応はA未達に近い中立扱いとして、購入時は指数・銀行セクター・信用コストを確認する。,イベント後反応が通常A水準未達 / 信頼度不足(62),決算後20営業日または6月イベント後の指数比を再取得する。
13,8766.T,東京海上HD,通常A未達（イベント不足）,NO,通過,未達,通過,通過,通過,不足,通過,5.33,51.0,62.0,24.4,-38.7,-24.21,"経常収益8,872,277百万円（+5.1%）、経常利益1,348,630百万円（-7.6%）、親会社株主帰属当期純利益980,428百万円（-7.1%）、EPS515.55円（-4.9%）、自己資本比率17.0%（+0.7pt）、営業CF584,259百万円（-56.6%）、年間配当218円（+26.7%）、2027年3月期会社予想当期利益830,000百万円をPDF本文照合済み。",2026?3???? / 開示前営業日基準 / D+1 -5.04% / D+5 -14.67% / D+20 -24.21% / ????,保険・金利・資本政策: 公式決算で経常収益+5.1%、年間配当+26.7%、自己資本比率17.0%を確認。一方、経常利益-7.6%、親会社株主帰属当期純利益-7.1%、営業CF-56.6%で、直近実績は強弱混在。 / 保険・金利テーマの監視根拠として使う。決算後反応が弱いため、通常Aへの昇格根拠にはしない。,イベント後反応が通常A水準未達 / 信頼度不足(62),決算後20営業日または6月イベント後の指数比を再取得する。
14,9983.T,ファーストリテイリング,通常A未達（イベント不足）,NO,通過,未達,通過,通過,通過,不足,通過,4.66,56.1,62.0,67.4,-37.9,-1.45,"Revenue 3,400,539百万円(+9.6%)、Business profit 551,156百万円(+13.6%)、Operating profit 564,265百万円(+12.6%)、Profit attributable to owners 433,009百万円(+16.4%)、EPS1,411.44円、ROE20.2%、Equity ratio 58.9%、年間配当500円を確認。","Consolidated Financial Results for the Fiscal Year Ended August 31, 2025 (Under IFRS) / 開示日基準 / D+1 -0.75% / D+5 -2.02% / D+20 -1.45% / 補助未達",消費・海外成長・円安/円高感応: 売上+9.6%、営業利益+12.6%、ROE20.2%、自己資本比率58.9%を公式決算で確認。海外成長とブランド力を質的補助根拠化。 / 指数超過の強いイベント根拠ではない。購入する場合は分散枠として、月次売上と為替を確認する。,イベント後反応が通常A水準未達 / 信頼度不足(62),決算後20営業日または6月イベント後の指数比を再取得する。
15,4063.T,信越化学工業,通常A未達（イベント不足）,NO,通過,未達,補助,通過,通過,通過,通過,2.46,45.6,78.0,63.6,-47.1,-1.66,"Net sales 2,573,969百万円(+0.5%)、Operating income 635,204百万円(-14.4%)、Ordinary income 708,281百万円(-13.7%)、Net income attributable to owners 474,459百万円(-11.2%)、EPS252.69円、ROE10.4%、営業利益率24.7%を確認。","Consolidated Financial Results for the Fiscal Year Ended March 31, 2026(JP GAAP) / 開示日基準 / D+1 3.39% / D+5 2.79% / D+20 -1.66% / 補助未達",半導体材料・化学・構造優位: 営業利益率24.7%、ROE10.4%を公式決算で確認。ただし営業利益・純利益は前年比マイナス。 / 財務の質は高いが、通常購入枠ではなく監視枠。半導体材料の需要回復と株価下落耐性改善を確認してから再判定。,イベント後反応が通常A水準未達 / 質的材料はあるが、通常Aの単独根拠にしない扱い,決算後20営業日または6月イベント後の指数比を再取得する。
16,3407.T,旭化成,通常A未達（イベント不足）,NO,通過,未達,通過,通過,通過,不足,通過,2.21,59.6,54.0,79.4,-26.2,-0.54,"売上高30,745億円(+1.2%)、営業利益2,312億円(+9.1%)、売上高営業利益率7.5%、親会社株主帰属当期純利益1,588億円(+17.6%)、EPS116.97円、年間配当42円、2026年度配当予想44円を確認。",2025年度決算説明資料 / 開示日基準 / D+1 4.93% / D+5 6.24% / D+20 -0.54% / 補助未達,ヘルスケア・住宅・素材・電子材料: 営業利益+9.1%、純利益+17.6%、EPS+19.4%、増配を公式決算説明資料で確認。複数事業による分散耐性を質的補助根拠化。 / テーマ株のような急成長根拠ではない。分散・安定補助として扱い、素材市況悪化時は減額する。,イベント後反応が通常A水準未達 / 信頼度不足(54),決算後20営業日または6月イベント後の指数比を再取得する。
17,6367.T,ダイキン工業,通常A未達（イベント不足）,NO,通過,未達,補助,通過,防御枠,不足,条件付き,-2.63,43.3,62.0,48.2,-50.0,-9.02,"売上高5,015,036百万円（+5.5%）、営業利益414,991百万円（+3.3%）、親会社株主帰属当期純利益275,229百万円（+4.0%）、EPS939.92円（+3.9%）、自己資本比率55.9%（+1.3pt）、営業CF465,848百万円（-9.4%）、年間配当340円（+3.0%）、2027年3月期会社予想売上高5,150,000百万円（+2.7%）をPDF本文照合済み。",2026?3???? / 開示前営業日基準 / D+1 4.77% / D+5 0.69% / D+20 -9.02% / ????,空調・冷却・AIデータセンター周辺需要: 公式決算で売上高+5.5%、営業利益+3.3%、EPS+3.9%、自己資本比率55.9%を確認。AIデータセンター冷却需要は構造テーマだが、全社利益への寄与率は未分離。 / 冷却テーマの監視根拠として使う。決算後20営業日反応が通常A水準未達のため、この材料だけで買付候補に上げない。,イベント後反応が通常A水準未達 / 質的材料はあるが、通常Aの単独根拠にしない扱い / 期待値が低い(-2.63%) / 信頼度不足(62) / 過熱または5年最大下落が大きい,決算後20営業日または6月イベント後の指数比を再取得する。
18,5801.T,古河電工,通常A未達（条件付き）,NO,通過,通過,通過,通過,通過,通過,条件付き,15.35,37.6,92.0,684.6,-52.1,2.26,売上高+8.8%・営業利益+35.8%・経常利益+56.4%・親会社株主帰属当期純利益+117.4%・EPS1030.17円・ROE19.1%・BPS5928.21円・自己資本比率39.1%・年間配当210円・FY2027会社予想売上高+11.7%・営業利益+48.8%・当期純利益+13.1%を確認,2026年3月期決算 / 開示前営業日基準 / D+1 32.48% / D+5 18.70% / D+20 2.26% / 決算反応補助,データセンター・電線・光通信: 2026年3月期は売上+8.8%・営業利益+35.8%・ROE19.1%。情報通信ソリューションでデータセンタ関連製品の需要増加と高速大容量通信向け製品の拡販を確認。3Qではインフラ売上+17.8%・営業利益82億円を確認。 / データセンター需要は確認できるが価格未取得・イベント未検証のため買付根拠にしない。株式分割後の価格と指数比を確認するまで監視,過熱または5年最大下落が大きい,過熱、最大下落、信頼度、当日価格を追加確認する。
19,5802.T,住友電工,通常A未達（条件付き）,NO,通過,通過,通過,通過,通過,通過,条件付き,12.74,45.5,78.0,323.3,-41.4,2.6,"売上高5,110,171百万円(+9.2%)、営業利益418,173百万円(+30.4%)、経常利益431,274百万円(+39.3%)、親会社株主帰属当期純利益369,508百万円(+90.7%)、EPS473.78円、自己資本当期純利益率14.7%、総資産経常利益率9.3%、営業利益率8.2%、自己資本比率56.9%、BPS3,517.58円、営業CF425,192百万円、FY2027会社予想売上5,300,000百万円(+3.7%)",2026年3月期決算 / 開示前営業日基準 / D+1 12.59% / D+5 -0.31% / D+20 2.60% / 決算反応補助,"AIデータセンター・電力ケーブル・光通信: 公式決算短信で、生成AI市場拡大を背景にデータセンター向け光配線製品・光ケーブル・光デバイス需要が増加、情報通信関連事業の売上高326,632百万円(+46.3%)、営業利益77,435百万円(+57,509百万円)を確認。環境エネルギー関連事業でも電力ケーブル・受変電設備需要により売上高1,178,780百万円(+9.0%)を確認。 / 公式テーマ接続は補助使用可。ただし決算後反応と価格過熱確認が未完了のため、単独の買付根拠にはしない。",過熱または5年最大下落が大きい,過熱、最大下落、信頼度、当日価格を追加確認する。
20,6981.T,村田製作所,通常A未達（条件付き）,NO,通過,通過,通過,通過,通過,通過,条件付き,4.43,40.5,80.0,313.2,-49.8,85.84,"売上収益1,830,856百万円(+5.0%)・営業利益281,835百万円(+0.8%)・税引前利益308,643百万円(+1.4%)・親会社所有者帰属当期利益233,920百万円(+0.0%)・EPS127.66円・ROE8.8%・営業利益率15.4%・BPS1,493.58円・親会社所有者帰属持分比率85.0%・営業CF425,222百万円・FY2027会社予想売上+7.1%/営業利益+34.8%/EPS160.96円を確認",2026年3月期決算 / 開示前営業日基準 / D+1 -0.73% / D+5 12.05% / D+20 85.84% / Aイベント条件通過,AIサーバー・MLCC・車載電子部品: 公式決算で、AIサーバーおよび周辺機器によりデータセンター関連需要が拡大し、サーバー向けMLCC、インダクタ、EMI除去フィルタが増加したことを確認。FY2027会社予想でも営業利益+34.8%を確認。 / AI需要を単独で加点しない。MLCC・サーバー・車載の売上/利益、価格下落、為替、決算後反応と合わせて使う。,過熱または5年最大下落が大きい,過熱、最大下落、信頼度、当日価格を追加確認する。
21,9433.T,KDDI,A補完枠（通常Aではない）,NO,通過,通過,通過,防御枠,防御枠,通過,通過,0.5,75.5,78.0,11.8,-16.8,3.31,"売上高6,071,915百万円(+4.1%)・営業利益1,099,125百万円(+1.1%)・税引前利益1,117,904百万円(+4.1%)・親会社所有者帰属当期利益707,112百万円(+7.9%)・EPS183.59円・ROE14.0%・BPS1,333.50円・親会社所有者帰属持分比率26.6%・営業CF1,788,853百万円・FY2027会社予想売上+5.6%/調整後営業利益+5.0%/EPS196.29円を確認",2026年3月期決算説明会資料（中期経営戦略） / 開示前営業日基準 / D+1 -0.41% / D+5 12.76% / D+20 3.31% / Aイベント条件通過・条件付き,通信インフラ・AIデータ基盤・低遅延網: 公式決算で売上+4.1%、純利益+7.9%、ROE14.0%を確認。中期経営戦略でAI前提社会の土台、全国低遅延網、AI計算資源基盤、3年1.2兆円規模の投資方針を確認。 / 通信安定枠として扱う。AIデータ基盤は補助材料であり、自己株TOB、金融子会社上場準備、ガバナンス関連開示、旧イベント履歴を別枠で確認する。,リスクスコア高め(75.5) / 期待値が低い(0.5%),主力ではなく守り・分散の補助に限定。通常A15社には数えない。
22,2503.T,キリンHD,A補完枠（通常Aではない）,NO,通過,通過,通過,防御枠,防御枠,通過,通過,0.33,70.4,74.0,35.8,-21.8,6.02,"売上収益573,033百万円(+5.0%)・事業利益49,992百万円(+37.7%)・税引前利益50,344百万円(+31.6%)・親会社所有者帰属四半期利益27,078百万円(+11.3%)・EPS33.46円・親会社所有者帰属持分比率38.7%・FY2026会社予想売上+1.9%/事業利益-6.7%/親会社所有者帰属利益+5.7%/EPS193.00円・配当予想76円を確認",2026年12月期第1四半期決算 / 開示前営業日基準 / D+1 5.89% / D+5 11.31% / D+20 6.02% / Aイベント条件通過・条件付き,食品・飲料・ヘルスサイエンス・価格改定: 2026年12月期第1四半期で売上収益+5.0%、事業利益+37.7%、親会社所有者帰属四半期利益+11.3%を確認。守り寄りの消費・ヘルスケア補完枠として確認。 / 第1四半期の確認であり、通期のROE/PBR・原材料コスト・価格改定効果を補完して使う。守り枠候補であって高成長枠ではない。,リスクスコア高め(70.4) / 期待値が低い(0.33%),主力ではなく守り・分散の補助に限定。通常A15社には数えない。
23,7013.T,IHI,通常A未達（財務不足）,NO,不足,不足,不足,不足,通過,不足,通過,6.65,28.2,54.0,37.4,-43.1,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(28.2) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
24,7735.T,SCREEN HD,通常A未達（財務不足）,NO,不足,不足,不足,不足,通過,不足,条件付き,6.06,28.0,62.0,113.5,-59.1,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(28) / 信頼度不足(62) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
25,9984.T,ソフトバンクG,通常A未達（財務不足）,NO,不足,不足,不足,不足,通過,通過,条件付き,4.92,17.0,70.0,265.9,-50.8,0.0,公式決算原本照合 / PER,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(17) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
26,6701.T,NEC,通常A未達（財務不足）,NO,不足,不足,不足,不足,通過,不足,通過,3.78,34.2,66.0,9.9,-39.5,0.0,公式決算原本照合 / PER,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(34.2) / 信頼度不足(66),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
27,6723.T,ルネサス,通常A未達（財務不足）,NO,不足,不足,不足,不足,通過,不足,条件付き,3.6,23.3,54.0,147.9,-58.6,0.0,公式決算原本照合 / PER,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(23.3) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
28,6920.T,レーザーテック,通常A未達（財務不足）,NO,不足,不足,不足,不足,通過,通過,条件付き,1.51,24.7,70.0,171.6,-76.6,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(24.7) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
29,4502.T,武田薬品,通常A未達（財務不足）,NO,不足,未到達,不足,防御枠,防御枠,不足,通過,0.72,71.9,62.0,26.2,-19.1,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,（訂正・数値データ訂正）修正後発事象による引当金の計上および「2026年３月期決算短信〔IFRS〕（連結）」の修正について / 開示日基準 / D+1 6.37% / D+5 4.02% / D+20 % / 20営業日未到達,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 20営業日反応が未到達 / 質的材料が公式実績層未達 / リスクスコア高め(71.9) / 期待値が低い(0.72%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
30,4188.T,三菱ケミカルG,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.02,49.4,62.0,51.8,-34.4,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.02%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
31,5108.T,ブリヂストン,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.02,64.2,54.0,13.7,-26.4,0.0,公式決算原本照合 / 売上前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.02%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
32,1925.T,大和ハウス工業,通常A未達（財務不足）,NO,不足,不足,不足,通過,防御枠,不足,通過,-0.41,63.8,54.0,-8.0,-21.6,0.0,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.41%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
33,9432.T,NTT,通常A未達（財務不足）,NO,不足,不足,不足,防御枠,防御枠,不足,通過,-0.46,72.5,54.0,0.1,-23.7,0.0,公式決算原本照合,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア高め(72.5) / 期待値が低い(-0.46%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。
