updated_at,ticker,company,test_layer,integrated_grade,theme,hypothesis_layer,evidence_layer,connection,required_numbers,reject_condition,qualitative_gate,gate_reason,scoring_use,treatment
2026/05/27 07:57,6367.T,ダイキン工業,比較・観察,C,データセンター冷却,A,未接続,AIデータセンター冷却テーマに接続。ただし寄与が全社数字に出ているか確認が必要。,データセンター向け売上、地域別利益、中国/欧米需要、会社コメント,データセンター寄与が小さい、空調全体の需要鈍化、中国需要悪化,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,質的Bから開始。数値接続でA化を検討。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6367.T,ダイキン工業,比較・観察,C,円安,B,一部接続可,AIデータセンター冷却テーマに接続。ただし寄与が全社数字に出ているか確認が必要。,海外売上比率、為替感応度、ドル円変化率、営業利益見通し、ヘッジ状況,円安でもコスト増が上回る、為替感応度が小さい、円高反転,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,マクロ感応度ゲート。単独では候補にしない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6503.T,三菱電機,比較・観察,C,データセンター電力不足,A,未接続,電力、FA、防衛、インフラに接続。テーマが広いため事業別数字の確認が必要。,電力インフラ関連売上、受注残、データセンター向け比率、設備投資計画、電力需要統計,需要が一般設備投資に埋もれる、利益率が伸びない、受注残が増えない,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,時流候補抽出。受注・利益率確認が通過条件。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6503.T,三菱電機,比較・観察,C,データセンター冷却,A,未接続,電力、FA、防衛、インフラに接続。テーマが広いため事業別数字の確認が必要。,データセンター向け売上、地域別利益、中国/欧米需要、会社コメント,データセンター寄与が小さい、空調全体の需要鈍化、中国需要悪化,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,質的Bから開始。数値接続でA化を検討。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6503.T,三菱電機,比較・観察,C,防衛・安全保障,A,未接続,電力、FA、防衛、インフラに接続。テーマが広いため事業別数字の確認が必要。,防衛関連受注、受注残、売上比率、利益率、政府予算,受注が利益に結びつかない、採算悪化、政策変更,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,テーマ抽出。政策だけでは加点せず、受注と利益率を必須確認。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6503.T,三菱電機,比較・観察,C,人手不足・省人化,A,未接続,電力、FA、防衛、インフラに接続。テーマが広いため事業別数字の確認が必要。,受注、設備投資統計、営業利益率、地域別需要、在庫循環,設備投資減速、中国需要鈍化、在庫調整、PER調整,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,中期テーマ候補。景気循環とPERリスクを同時確認。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,8766.T,東京海上HD,第2層: 条件付き確認,B,金利上昇,A,一部接続可,金利、保険料率、政策保有株売却に接続。自然災害損害率と保険引受利益を確認。,資金利益、信用コスト、保険引受利益、政策保有株売却、日銀後の株価反応,信用コスト増、景気悪化扱い、長期金利急低下、金融株が指数劣後,条件付き確認,テーマはあるが、量的評価または実績層が不足しているため条件確認が必要。,市場ゲートと候補別ゲートに使う。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,8766.T,東京海上HD,第2層: 条件付き確認,B,自社株買い・増配・資本効率,A,一部接続可,金利、保険料率、政策保有株売却に接続。自然災害損害率と保険引受利益を確認。,自社株買い規模、発行株比率、配当性向、ROE、PBR、FCF,一時的還元、業績悪化、FCF不足、還元後もROE改善しない,条件付き確認,テーマはあるが、量的評価または実績層が不足しているため条件確認が必要。,量的評価の質/還元項目へ接続可能。ただし発表だけでは加点しない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,4385.T,メルカリ,第3層: データ補完,保留,人手不足・省人化,A,未接続,国内消費、FinTech、広告に接続。ただし公式値とPER比較の補完が先。,受注、設備投資統計、営業利益率、地域別需要、在庫循環,設備投資減速、中国需要鈍化、在庫調整、PER調整,補完待ち,不足データを補完するまで候補上位には置かない。,中期テーマ候補。景気循環とPERリスクを同時確認。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,4385.T,メルカリ,第3層: データ補完,保留,国内消費・プラットフォーム,未登録,未登録,国内消費、FinTech、広告に接続。ただし公式値とPER比較の補完が先。,テーマ定義を追加する,テーマ定義を追加する,補完待ち,不足データを補完するまで候補上位には置かない。,未登録テーマ。採点に使わない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,8306.T,三菱UFJ FG,第3層: データ補完,C,金利上昇,A,一部接続可,日銀政策、資金利益、還元に接続。PER/PBR/ROEと信用コストの確認が必要。,資金利益、信用コスト、保険引受利益、政策保有株売却、日銀後の株価反応,信用コスト増、景気悪化扱い、長期金利急低下、金融株が指数劣後,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,市場ゲートと候補別ゲートに使う。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,8306.T,三菱UFJ FG,第3層: データ補完,C,自社株買い・増配・資本効率,A,一部接続可,日銀政策、資金利益、還元に接続。PER/PBR/ROEと信用コストの確認が必要。,自社株買い規模、発行株比率、配当性向、ROE、PBR、FCF,一時的還元、業績悪化、FCF不足、還元後もROE改善しない,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,量的評価の質/還元項目へ接続可能。ただし発表だけでは加点しない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6146.T,ディスコ,第4層: 仮説検算,C,AI半導体投資,S,未接続,半導体加工工程の構造テーマに接続。ただし直近反応が弱いため仮説検算を優先。,対象セグメント売上、受注高、受注残、営業利益率、会社コメント、SOX/NASDAQ/日経半導体株指数との相対株価,主要顧客の投資延期、在庫調整、輸出規制、利益率悪化、決算後20営業日で指数劣後,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,候補抽出と確認条件。単純加点しない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6146.T,ディスコ,第4層: 仮説検算,C,半導体工程の寡占・高シェア,S,未接続,半導体加工工程の構造テーマに接続。ただし直近反応が弱いため仮説検算を優先。,工程別売上、WFE投資、受注残、顧客集中度、粗利率、PERが成長率で説明可能か,シェア根拠が確認できない、工程需要が数字に出ない、PER調整に耐えない,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,質的S候補。ただし公式数字と株価反応がそろうまで統合Sにしない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6146.T,ディスコ,第4層: 仮説検算,C,HBM・先端パッケージ,A,未接続,半導体加工工程の構造テーマに接続。ただし直近反応が弱いため仮説検算を優先。,該当事業の売上成長、受注、利益率、顧客需要コメント、メモリ市況指標,メモリ投資鈍化、顧客在庫増、需要コメント悪化,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,候補抽出。量的評価B以下なら上限をB以下に抑える。,質的テーマ接続。量的スコアへ単純加点しない。
