updated_at,ticker,company_name,metric_group,score_field,score_component,calculated_value_for_score,validation_status,reflection_status,stop_reason,current_nisa_score,estimated_component_effect,reference_score_after_reflection,reflection_rule,source_url
2026/05/19 17:21,7974.T,任天堂,forecast,forecast_revision_or_growth,growth_score,0,未入力,反映停止,正式値が未入力,58.2,0,58.2,会社予想の改善は決算期待値の確認材料,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:21,7974.T,任天堂,dividend,dividend_yield_pct,shareholder_return_score,0,未入力,反映停止,正式値が未入力,58.2,0,58.2,配当利回りは株主還元の確認材料,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:21,7974.T,任天堂,operating_profit,operating_profit_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,58.2,0,58.2,営業利益の前年比が最重要の成長確認材料,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:21,7974.T,任天堂,eps,eps_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,58.2,0,58.2,EPS成長は株主価値の確認材料,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:21,7974.T,任天堂,buyback,buyback_amount_million_yen,shareholder_return_score,0,未入力,反映停止,正式値が未入力,58.2,0,58.2,自社株買いは株主還元の確認材料,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:21,8035.T,東京エレクトロン,net_income,net_income_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,57.1,0,57.1,純利益成長は補助的な確認材料,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:21,8035.T,東京エレクトロン,dividend,dividend_yield_pct,shareholder_return_score,0,未入力,反映停止,正式値が未入力,57.1,0,57.1,配当利回りは株主還元の確認材料,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:21,8035.T,東京エレクトロン,forecast,forecast_revision_or_growth,growth_score,0,未入力,反映停止,正式値が未入力,57.1,0,57.1,会社予想の改善は決算期待値の確認材料,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:21,8035.T,東京エレクトロン,eps,eps_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,57.1,0,57.1,EPS成長は株主価値の確認材料,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:21,8035.T,東京エレクトロン,sales,sales_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,57.1,0,57.1,前年比がプラスなら成長力の確認材料,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:21,8035.T,東京エレクトロン,operating_profit,operating_profit_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,57.1,0,57.1,営業利益の前年比が最重要の成長確認材料,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:21,8035.T,東京エレクトロン,buyback,buyback_amount_million_yen,shareholder_return_score,0,未入力,反映停止,正式値が未入力,57.1,0,57.1,自社株買いは株主還元の確認材料,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:21,8058.T,三菱商事,cash_flow,fcf_amount_million_yen,financial_safety_score,0,未入力,反映停止,正式値が未入力,58.6,0,58.6,FCFがプラスなら財務安全性の確認材料,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:21,8058.T,三菱商事,sales,sales_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,58.6,0,58.6,前年比がプラスなら成長力の確認材料,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:21,8058.T,三菱商事,dividend,dividend_yield_pct,shareholder_return_score,0,未入力,反映停止,正式値が未入力,58.6,0,58.6,配当利回りは株主還元の確認材料,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:21,8058.T,三菱商事,forecast,forecast_revision_or_growth,growth_score,0,未入力,反映停止,正式値が未入力,58.6,0,58.6,会社予想の改善は決算期待値の確認材料,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:21,8058.T,三菱商事,buyback,buyback_amount_million_yen,shareholder_return_score,0,未入力,反映停止,正式値が未入力,58.6,0,58.6,自社株買いは株主還元の確認材料,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:21,8058.T,三菱商事,roe,roe_pct,financial_safety_score,0,未入力,反映停止,正式値が未入力,58.6,0,58.6,ROEは企業の質の確認材料,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:21,8058.T,三菱商事,net_income,net_income_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,58.6,0,58.6,純利益成長は補助的な確認材料,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:21,8058.T,三菱商事,eps,eps_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,58.6,0,58.6,EPS成長は株主価値の確認材料,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
