queue_rank,ticker,name,in_portfolio,current_action,financial_status,financial_readiness,final_score,data_completion_pct,ev_confidence_pct,required_items,source_to_check,purchase_effect,max_buy_before_financial_confirmation_yen,next_action
11,5020.T,ENEOS HD,NO,監視,補助/注意,補助データ,51.5,62.6,66.1,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
12,6971.T,京セラ,NO,監視,補助,補助データ,49.5,55.1,57.6,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
13,7012.T,川崎重工業,NO,監視,補助/注意,補助データ,48.9,62.6,66.1,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
14,1605.T,INPEX,NO,監視,補助/注意,補助データ,48.6,71.7,67.7,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
15,5801.T,古河電工,NO,監視,補助/注意,補助データ,48.5,62.6,66.1,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
16,8002.T,丸紅,NO,監視,補助/注意,補助データ,47.3,76.3,73.3,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
17,2802.T,味の素,NO,監視,補助/注意,補助データ,47.1,62.6,66.1,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
18,8001.T,伊藤忠商事,NO,監視,補助/注意,補助データ,46.7,74.7,70.6,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
19,8725.T,MS&AD,NO,監視,補助/注意,補助データ,46.3,71.7,67.7,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
20,9983.T,ファーストリテイリング,NO,監視,補助/注意,補助データ,44.0,59.7,63.2,公式決算原本照合,各社IR、決算短信、決算説明資料、公式有価証券報告書,購入確定には使わない。確認後候補として、公式照合が終わるまで現金待機。,0,補助値を公式資料で照合し、passまたはpartialへ昇格できるか判断。
