updated_at,rank,ticker,company,priority_bucket,required_field,need_level,current_status,planned_source,purpose,score_use,company_specific_check,deadline
2026/05/27 08:34,4,5020.T,ENEOS HD,比較・観察,同業比較,高,追加取得,同業候補表、公式決算、J-Quants、証券会社画面,PERやROEを業種差込みで評価し、単純比較の誤差を減らす,業種別補正、割高判定,ENEOS HDと同業2-5社でPER/PBR/ROEと成長率を比較,5/28午前
2026/05/27 08:34,4,5020.T,ENEOS HD,比較・観察,質的テーマ確認数字,高,追加取得,会社IR、決算説明資料、業界統計、公式統計,AI半導体、金利、食品値上げ、冷却などのテーマが売上・利益に接続するか確認する,単純加点せず、確認条件・除外条件に使用,量的評価または質的確認が弱いため、補完後または比較対象に留める。,5/28午前
2026/05/27 08:34,4,5020.T,ENEOS HD,比較・観察,6月イベント後の市場条件,最重要,6月入力,FRED、日銀、FRB、Yahoo Finance chart API,CPI、日銀、FOMC後の金利・為替・指数の状態を反映する,6月再判定ゲート,米CPI・日銀・FOMC後に市場条件を再入力,6月イベント後
2026/05/27 08:34,5,6367.T,ダイキン工業,比較・観察,PER/PBR/ROE,最重要,追加取得,公式決算、有価証券報告書、J-Quants、証券会社画面,割高感、資本効率、同業比較を確認する,購入候補スコアの質/割安、ハード除外条件,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,5,6367.T,ダイキン工業,比較・観察,売上成長率・営業利益成長率,最重要,追加取得,決算短信、決算説明資料、会社IR,決算成長率が本当に続いているか確認する,量的スコアの成長項目,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,5,6367.T,ダイキン工業,比較・観察,決算後1日/5日/20営業日反応,最重要,追加取得,Yahoo Finance chart API、日経平均/TOPIX比較,良い決算が株価に反映されたか、指数に負けていないか確認する,決算後反応スコア、中心候補から外す条件,決算日後の対日経平均/TOPIX超過リターンを確認,5/27中
2026/05/27 08:34,5,6367.T,ダイキン工業,比較・観察,同業比較,高,追加取得,同業候補表、公式決算、J-Quants、証券会社画面,PERやROEを業種差込みで評価し、単純比較の誤差を減らす,業種別補正、割高判定,ダイキン工業と同業2-5社でPER/PBR/ROEと成長率を比較,5/28午前
2026/05/27 08:34,5,6367.T,ダイキン工業,比較・観察,質的テーマ確認数字,高,追加取得,会社IR、決算説明資料、業界統計、公式統計,AI半導体、金利、食品値上げ、冷却などのテーマが売上・利益に接続するか確認する,単純加点せず、確認条件・除外条件に使用,量的評価または質的確認が弱いため、補完後または比較対象に留める。,5/28午前
2026/05/27 08:34,5,6367.T,ダイキン工業,比較・観察,6月イベント後の市場条件,最重要,6月入力,FRED、日銀、FRB、Yahoo Finance chart API,CPI、日銀、FOMC後の金利・為替・指数の状態を反映する,6月再判定ゲート,米CPI・日銀・FOMC後に市場条件を再入力,6月イベント後
2026/05/27 08:34,6,6503.T,三菱電機,比較・観察,PER/PBR/ROE,最重要,追加取得,公式決算、有価証券報告書、J-Quants、証券会社画面,割高感、資本効率、同業比較を確認する,購入候補スコアの質/割安、ハード除外条件,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,6,6503.T,三菱電機,比較・観察,売上成長率・営業利益成長率,最重要,追加取得,決算短信、決算説明資料、会社IR,決算成長率が本当に続いているか確認する,量的スコアの成長項目,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,6,6503.T,三菱電機,比較・観察,決算後1日/5日/20営業日反応,最重要,追加取得,Yahoo Finance chart API、日経平均/TOPIX比較,良い決算が株価に反映されたか、指数に負けていないか確認する,決算後反応スコア、中心候補から外す条件,決算日後の対日経平均/TOPIX超過リターンを確認,5/27中
2026/05/27 08:34,6,6503.T,三菱電機,比較・観察,同業比較,高,追加取得,同業候補表、公式決算、J-Quants、証券会社画面,PERやROEを業種差込みで評価し、単純比較の誤差を減らす,業種別補正、割高判定,三菱電機と同業2-5社でPER/PBR/ROEと成長率を比較,5/28午前
2026/05/27 08:34,6,6503.T,三菱電機,比較・観察,質的テーマ確認数字,高,追加取得,会社IR、決算説明資料、業界統計、公式統計,AI半導体、金利、食品値上げ、冷却などのテーマが売上・利益に接続するか確認する,単純加点せず、確認条件・除外条件に使用,量的評価または質的確認が弱いため、補完後または比較対象に留める。,5/28午前
2026/05/27 08:34,6,6503.T,三菱電機,比較・観察,6月イベント後の市場条件,最重要,6月入力,FRED、日銀、FRB、Yahoo Finance chart API,CPI、日銀、FOMC後の金利・為替・指数の状態を反映する,6月再判定ゲート,米CPI・日銀・FOMC後に市場条件を再入力,6月イベント後
2026/05/27 08:34,7,8766.T,東京海上HD,条件付き確認,PER/PBR/ROE,最重要,追加取得,公式決算、有価証券報告書、J-Quants、証券会社画面,割高感、資本効率、同業比較を確認する,購入候補スコアの質/割安、ハード除外条件,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,7,8766.T,東京海上HD,条件付き確認,売上成長率・営業利益成長率,最重要,追加取得,決算短信、決算説明資料、会社IR,決算成長率が本当に続いているか確認する,量的スコアの成長項目,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,7,8766.T,東京海上HD,条件付き確認,決算後1日/5日/20営業日反応,最重要,追加取得,Yahoo Finance chart API、日経平均/TOPIX比較,良い決算が株価に反映されたか、指数に負けていないか確認する,決算後反応スコア、中心候補から外す条件,決算日後の対日経平均/TOPIX超過リターンを確認,5/27中
2026/05/27 08:34,7,8766.T,東京海上HD,条件付き確認,同業比較,高,追加取得,同業候補表、公式決算、J-Quants、証券会社画面,PERやROEを業種差込みで評価し、単純比較の誤差を減らす,業種別補正、割高判定,東京海上HDと同業2-5社でPER/PBR/ROEと成長率を比較,5/28午前
2026/05/27 08:34,7,8766.T,東京海上HD,条件付き確認,質的テーマ確認数字,高,追加取得,会社IR、決算説明資料、業界統計、公式統計,AI半導体、金利、食品値上げ、冷却などのテーマが売上・利益に接続するか確認する,単純加点せず、確認条件・除外条件に使用,保険引受利益、自然災害損害率、政策保有株売却、金利感応度。,5/28午前
2026/05/27 08:34,7,8766.T,東京海上HD,条件付き確認,6月イベント後の市場条件,最重要,6月入力,FRED、日銀、FRB、Yahoo Finance chart API,CPI、日銀、FOMC後の金利・為替・指数の状態を反映する,6月再判定ゲート,米CPI・日銀・FOMC後に市場条件を再入力,6月イベント後
2026/05/27 08:34,8,4385.T,メルカリ,比較・観察,PER/PBR/ROE,最重要,追加取得,公式決算、有価証券報告書、J-Quants、証券会社画面,割高感、資本効率、同業比較を確認する,購入候補スコアの質/割安、ハード除外条件,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,8,4385.T,メルカリ,比較・観察,売上成長率・営業利益成長率,最重要,追加取得,決算短信、決算説明資料、会社IR,決算成長率が本当に続いているか確認する,量的スコアの成長項目,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,8,4385.T,メルカリ,比較・観察,決算後1日/5日/20営業日反応,最重要,追加取得,Yahoo Finance chart API、日経平均/TOPIX比較,良い決算が株価に反映されたか、指数に負けていないか確認する,決算後反応スコア、中心候補から外す条件,決算日後の対日経平均/TOPIX超過リターンを確認,5/27中
2026/05/27 08:34,8,4385.T,メルカリ,比較・観察,同業比較,高,追加取得,同業候補表、公式決算、J-Quants、証券会社画面,PERやROEを業種差込みで評価し、単純比較の誤差を減らす,業種別補正、割高判定,メルカリと同業2-5社でPER/PBR/ROEと成長率を比較,5/28午前
2026/05/27 08:34,8,4385.T,メルカリ,比較・観察,質的テーマ確認数字,高,追加取得,会社IR、決算説明資料、業界統計、公式統計,AI半導体、金利、食品値上げ、冷却などのテーマが売上・利益に接続するか確認する,単純加点せず、確認条件・除外条件に使用,不足データを補完して再判定。,5/28午前
2026/05/27 08:34,8,4385.T,メルカリ,比較・観察,6月イベント後の市場条件,最重要,6月入力,FRED、日銀、FRB、Yahoo Finance chart API,CPI、日銀、FOMC後の金利・為替・指数の状態を反映する,6月再判定ゲート,米CPI・日銀・FOMC後に市場条件を再入力,6月イベント後
2026/05/27 08:34,9,8306.T,三菱UFJ FG,比較・観察,PER/PBR/ROE,最重要,追加取得,公式決算、有価証券報告書、J-Quants、証券会社画面,割高感、資本効率、同業比較を確認する,購入候補スコアの質/割安、ハード除外条件,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,9,8306.T,三菱UFJ FG,比較・観察,売上成長率・営業利益成長率,最重要,追加取得,決算短信、決算説明資料、会社IR,決算成長率が本当に続いているか確認する,量的スコアの成長項目,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,9,8306.T,三菱UFJ FG,比較・観察,決算後1日/5日/20営業日反応,最重要,追加取得,Yahoo Finance chart API、日経平均/TOPIX比較,良い決算が株価に反映されたか、指数に負けていないか確認する,決算後反応スコア、中心候補から外す条件,決算日後の対日経平均/TOPIX超過リターンを確認,5/27中
2026/05/27 08:34,9,8306.T,三菱UFJ FG,比較・観察,同業比較,高,追加取得,同業候補表、公式決算、J-Quants、証券会社画面,PERやROEを業種差込みで評価し、単純比較の誤差を減らす,業種別補正、割高判定,三菱UFJ FGと同業2-5社でPER/PBR/ROEと成長率を比較,5/28午前
2026/05/27 08:34,9,8306.T,三菱UFJ FG,比較・観察,質的テーマ確認数字,高,追加取得,会社IR、決算説明資料、業界統計、公式統計,AI半導体、金利、食品値上げ、冷却などのテーマが売上・利益に接続するか確認する,単純加点せず、確認条件・除外条件に使用,量的評価または質的確認が弱いため、補完後または比較対象に留める。,5/28午前
2026/05/27 08:34,9,8306.T,三菱UFJ FG,比較・観察,6月イベント後の市場条件,最重要,6月入力,FRED、日銀、FRB、Yahoo Finance chart API,CPI、日銀、FOMC後の金利・為替・指数の状態を反映する,6月再判定ゲート,米CPI・日銀・FOMC後に市場条件を再入力,6月イベント後
2026/05/27 08:34,10,6146.T,ディスコ,データ補完,PER/PBR/ROE,最重要,追加取得,公式決算、有価証券報告書、J-Quants、証券会社画面,割高感、資本効率、同業比較を確認する,購入候補スコアの質/割安、ハード除外条件,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,10,6146.T,ディスコ,データ補完,売上成長率・営業利益成長率,最重要,追加取得,決算短信、決算説明資料、会社IR,決算成長率が本当に続いているか確認する,量的スコアの成長項目,公式決算・証券会社画面で数値を補完,5/27中
2026/05/27 08:34,10,6146.T,ディスコ,データ補完,決算後1日/5日/20営業日反応,最重要,追加取得,Yahoo Finance chart API、日経平均/TOPIX比較,良い決算が株価に反映されたか、指数に負けていないか確認する,決算後反応スコア、中心候補から外す条件,決算日後の対日経平均/TOPIX超過リターンを確認,5/27中
2026/05/27 08:34,10,6146.T,ディスコ,データ補完,同業比較,高,追加取得,同業候補表、公式決算、J-Quants、証券会社画面,PERやROEを業種差込みで評価し、単純比較の誤差を減らす,業種別補正、割高判定,ディスコと同業2-5社でPER/PBR/ROEと成長率を比較,5/28午前
2026/05/27 08:34,10,6146.T,ディスコ,データ補完,質的テーマ確認数字,高,追加取得,会社IR、決算説明資料、業界統計、公式統計,AI半導体、金利、食品値上げ、冷却などのテーマが売上・利益に接続するか確認する,単純加点せず、確認条件・除外条件に使用,半導体工程需要、受注/出荷、利益率、SOXや日経半導体株との相対反応。,5/28午前
2026/05/27 08:34,10,6146.T,ディスコ,データ補完,6月イベント後の市場条件,最重要,6月入力,FRED、日銀、FRB、Yahoo Finance chart API,CPI、日銀、FOMC後の金利・為替・指数の状態を反映する,6月再判定ゲート,米CPI・日銀・FOMC後に市場条件を再入力,6月イベント後
