queue_rank,priority,task_type,ticker,company,theme_name,qualitative_score,nisa_score,bridge_status,blocker,task_detail,next_action
11,A,信頼度補完,5020.T,ENEOS,ナフサ・原油・化学品,70.4,54.4,数値確認中,決算後反応未取得 / データ信頼度70未満,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
12,B,NISAスコア接続,8766.T,東京海上HD,金利上昇・銀行保険,78.9,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
13,B,NISAスコア接続,8058.T,三菱商事,円安・資源・商社,77.4,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
14,B,NISAスコア接続,8001.T,伊藤忠商事,円安・資源・商社,76.6,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
15,B,NISAスコア接続,8031.T,三井物産,円安・資源・商社,76.1,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
16,B,NISAスコア接続,2801.T,キッコーマン,物価高・価格転嫁力,74.2,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
17,B,NISAスコア接続,4452.T,花王,物価高・価格転嫁力,73.2,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
18,B,NISAスコア接続,4519.T,中外製薬,医薬・ヘルスケア政策,71.1,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
19,B,NISAスコア接続,4188.T,三菱ケミカルG,ナフサ・原油・化学品,69.9,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
20,B,NISAスコア接続,1802.T,大林組,災害復旧・インフラ強靭化,68.1,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
21,B,NISAスコア接続,9433.T,KDDI,災害復旧・インフラ強靭化,67.6,,母集団内・NISA点未計算,NISAスコア未計算,既に100社母集団にあり株価・業績取得ルートもあるため、PER/PBR/ROE、決算後反応、下落耐性をNISA 1年保有スコアへ接続する。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
22,B,過熱監視,5801.T,古河電工,AIデータセンター電力・冷却,83.6,62.4,数値確認中,1年上昇率792%で過熱,時流には合うが短期上昇が大きい。押し目、出来高鈍化、決算後反応の改善を待ち、今すぐ購入候補にはしない。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
23,B,過熱監視,5802.T,住友電工,AIデータセンター電力・冷却,83.1,52.5,数値確認中,1年上昇率307.5%で過熱 / 既存安全分岐で落とす,時流には合うが短期上昇が大きい。押し目、出来高鈍化、決算後反応の改善を待ち、今すぐ購入候補にはしない。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
24,B,追加確認,7012.T,川崎重工業,防衛・安全保障,79.5,62.7,数値確認中,決算後反応34.8点,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
