updated_at,file,line,phrase,role,treatment,suggestion,context
2026/05/26 10:24,index.html,2203,候補銘柄,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,検証開始: 決算一巡後 対象: 候補銘柄の決算反応と株価指標 条件: データ欠落と過熱リスクを確認 注意: 5月中は売買判断を確定しない
2026/05/26 10:24,index.html,2217,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,日銀 + FOMC: 購入可否の最終判定 見る: 米10年金利、NASDAQ、ドル円 良い: 金利4.60%未満 行動: 候補別に購入可否を判定
2026/05/26 10:24,index.html,2347,追加候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,この資料での対応ルール PER30倍以上の銘柄は、営業利益見通しが前年比+10%以上、または会社計画進捗が順調な場合だけ追加候補にします。PER40倍以上で営業利益見通しが下方修正、または決算後に株価が-8%以上下落した場合は追加停止。米10年金利が4.70%以上なら、高PER銘柄の追加額を半分にします。 銘柄へ戻る
2026/05/26 10:24,index.html,2366,追加候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,この資料での対応ルール 中外製薬は、営業利益見通しが前年比プラス、主力薬の売上が計画線、パイプラインで大きな失敗がない場合に追加候補とします。臨床試験失敗、承認遅延、営業利益見通し-10%以上悪化、または決算翌日に-8%以上下落した場合は追加停止。医薬イベント前は一括で買わず、予定額の半分までにします。 銘柄へ戻る
2026/05/26 10:24,index.html,2383,追加候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,この資料での対応ルール 三菱UFJは、日銀が急変せず、10年国債利回りが緩やかに上昇し、与信費用が急増していない時に追加候補とします。日経平均が75日線を明確に下回る、与信費用見通しが悪化、または日銀後に円高が3%以上進む場合は追加を延期します。 銘柄へ戻る
2026/05/26 10:24,index.html,2400,追加候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,この資料での対応ルール 三菱商事は、通期利益見通しが維持され、自社株買いの進捗が確認でき、配当方針が維持される場合に追加候補とします。通期利益見通し-10%以上、資源価格急落、または自社株買い終了後に株価が75日線を下回る場合は追加停止。還元だけを理由に買い増しません。 銘柄へ戻る
2026/05/26 10:24,index.html,2417,追加候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,この資料での対応ルール 任天堂は、Switch 2販売が会社計画以上、ソフト販売が強い、営業利益見通しが維持または上方修正なら追加候補とします。発売後に材料出尽くしで-8%以上下落、ソフト販売が弱い、円高が3%以上進む、または会社計画未達が見えた場合は追加停止。発売イベント直前は一括買いを避けます。 銘柄へ戻る
2026/05/26 10:24,index.html,2451,追加候補,確認対象,要役割付け,予備検証候補 / 追加確認対象 / 分割検証候補,"この資料での対応ルール 5,300円以上では追いません。4,600円以下、または次決算で営業利益進捗が計画以上、ABF/ヘルスケアの成長が確認できた場合だけ追加候補とします。決算で営業利益見通しが-10%以上悪化、ABF成長鈍化、またはPER40倍以上のまま株価が急騰した場合は見送り。食品の安定性だけを理由に高値買いしません。 銘柄へ戻る"
2026/05/26 10:24,index.html,3280,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"`; }).join("""") || ` 現候補20社と一致するイベント後リターン集計はまだありません。 `; const monthlyRows = allRankedRows.map((row) => {"
2026/05/26 10:24,index.html,3299,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"ws = [ [""イベント後リターン明細"", `${eventDetailRows.length}件`, `${eventDetailCandidateRows.length}件が現候補20社と一致`, eventDetailCandidateRows.length ? ""一部接続済み"" : ""未接続""], [""イベント後リターン集計"", `${eventSummaryRows.length}銘柄`, `${eventTickers.size}銘柄が現候補20社と一致`, even"
2026/05/26 10:24,index.html,3300,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"[""イベント後リターン明細"", `${eventDetailRows.length}件`, `${eventDetailCandidateRows.length}件が現候補20社と一致`, eventDetailCandidateRows.length ? ""一部接続済み"" : ""未接続""], [""イベント後リターン集計"", `${eventSummaryRows.length}銘柄`, `${eventTickers.size}銘柄が現候補20社と一致`, even"
2026/05/26 10:24,index.html,3301,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"[""イベント後リターン集計"", `${eventSummaryRows.length}銘柄`, `${eventTickers.size}銘柄が現候補20社と一致`, eventTickers.size ? ""一部接続済み"" : ""未接続""], [""株価月次データ"", `${countUnique(stockMonthlyRows, ""ticker"")}銘柄`, `${stockMonthlyTickers.size}銘柄が現候補20社と一致`,"
2026/05/26 10:24,index.html,3310,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,現候補とのイベント接続 ${eventTickers.size}銘柄
2026/05/26 10:24,index.html,3312,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,${eventTickers.size}銘柄 イベント後リターン集計と現候補20社の一致数。
2026/05/26 10:24,index.html,3315,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,現候補との月次接続 ${stockMonthlyTickers.size}銘柄
2026/05/26 10:24,index.html,3317,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,${stockMonthlyTickers.size}銘柄 月次株価データと現候補20社の一致数。
2026/05/26 10:24,index.html,3326,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"データ 取得済み 現候補との接続 状態 ${progressRows.map(([item, acquired, connected, status]) => `"
2026/05/26 10:24,index.html,3492,購入検討対象,購入検討,要確認,購入検討可否の確認対象 / 購入検討へ進めない,"ows, ""C"")}社`, ""データ取得や検算が不足している候補。""], [""D 低優先・比較のみ"", `${levelCount(universeRows, ""D"")}社`, ""購入検討対象というより比較・代表性確認用。""], ];"
2026/05/26 10:24,index.html,3685,購入検討対象,購入検討,要確認,購入検討可否の確認対象 / 購入検討へ進めない,"stop: ""未取得、過熱、急落、割高、決算後反応悪化のいずれかが残る場合は見送り。"", action: ""現時点では確認待ち。購入検討対象へは上げない。"" };"
2026/05/26 10:24,index.html,3857,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"= [""記録時刻"", ""判定"", ""理由"", ""日経75日差"", ""日経高値下落"", ""米10年金利"", ""金利上昇幅"", ""ドル円変化"", ""VIX"", ""企業イベント"", ""候補別判定""]; const rows = logs.map((log) => ["
2026/05/26 10:24,index.html,3891,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,記録時刻 判定 理由 候補別判定 ${recentRows}
2026/05/26 10:24,index.html,3956,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"。"" : commonPass ? ""共通条件は通過です。"" : escapeHtml(failReasons.join("" / ""))} 扱い: ${commonPass ? ""候補別条件の確認に進めます。購入確定ではありません。"" : ""この状態では購入検討可否判定を進めず、延期または候補縮小として扱います。""} `;"
2026/05/26 10:24,index.html,4024,購入検討対象,購入検討,許容,購入検討可否の確認対象 / 購入検討へ進めない,予備 ${reserveRows.length}件 / 保留 ${holdRows.length}件 / 落とす ${dropRows.length}件 予備は購入検討対象ではなく、決算後20営業日反応や6月イベント後の地合いで昇格可否を確認する補充枠です。
2026/05/26 10:24,index.html,4031,購入検討対象,購入検討,要確認,購入検討可否の確認対象 / 購入検討へ進めない,"候補として残します。""; if (category === ""予備"") return ""候補数を広げるための補充枠です。決算後20営業日反応と6月イベント後の地合い確認が終わるまで購入検討対象には上げません。""; if (category === ""保留"") return ""数値は強くても、過熱・反応悪化・特殊要因が残るため、購入検討対象には上げず再判定待ちにします。"";"
2026/05/26 10:24,index.html,4032,購入検討対象,購入検討,要確認,購入検討可否の確認対象 / 購入検討へ進めない,"if (category === ""予備"") return ""候補数を広げるための補充枠です。決算後20営業日反応と6月イベント後の地合い確認が終わるまで購入検討対象には上げません。""; if (category === ""保留"") return ""数値は強くても、過熱・反応悪化・特殊要因が残るため、購入検討対象には上げず再判定待ちにします。""; if (category === ""落とす"") return ""現時点では初回テスト候補から外し、明確な改善データが"
2026/05/26 10:24,index.html,4279,10社候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"p((row) => row.company).join(""、"") || ""該当なし""; const sourceLabel = usingTenCandidatePlan ? ""10社候補案"" : ""上位20社再計算""; alert.innerHTML = ` ${escapeHtml(sourceLabel)}を表示 NISA点の最上位は ${escapeHtml(strongest?.ticker || ""-"")} ${escapeHtml(strongest?.company"
2026/05/26 10:24,index.html,4366,候補銘柄,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"bad: ""金利上昇が続く場合、半導体の初回投入を控える。"", action: ""5月中は購入せず、候補銘柄の決算反応とデータ欠落だけ確認。"" },"
2026/05/26 10:24,index.html,4377,候補銘柄,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"title: ""5月中旬 日本企業の本決算集中"", watch: ""候補銘柄の下方修正、配当、自社株買い、通期予想。"", good: ""下方修正なし、配当維持/増配、決算後5営業日で-8%以内。"","
2026/05/26 10:24,index.html,4394,購入検討対象,購入検討,要確認,購入検討可否の確認対象 / 購入検討へ進めない,"bad: ""日経平均が75日線を-1.5%以上下回る。"", action: ""良ければ6月判定の候補に残す。悪ければ購入検討対象から外す。"" },"
2026/05/26 10:24,index.html,4421,候補銘柄,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"good: ""米金利急騰なし、円高ショックなし、日経平均75日線以上。"", bad: ""金利4.70%以上、日経平均75日線-2%以上、候補銘柄に下方修正。"", action: ""条件達成なら候補別に購入可否を判定。未達なら延期または候補縮小。"""
2026/05/26 10:24,index.html,4422,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,"bad: ""金利4.70%以上、日経平均75日線-2%以上、候補銘柄に下方修正。"", action: ""条件達成なら候補別に購入可否を判定。未達なら延期または候補縮小。"" },"
2026/05/26 10:24,issue_recovery_board_20260525.html,43,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,タイプです。課題が未回収の項目は、売買判断には使いません。 解決までのフローチャートを見る / 資料区分台帳を見る / 公開前文言チェックを見る / 候補表現ロール整理を見る / 候補10社データ補完を見る
2026/05/26 10:24,issue_recovery_board_20260525.html,94,買い候補,購入に見える表現,許容,検証候補 / 購入検討可否の確認対象,画面上でも「仮説」「実績」「量的スコア」を列分けして、総合点に混ぜない表示へ寄せる。 仮説だけで買い候補にしない。
2026/05/26 10:24,issue_recovery_board_20260525.html,97,購入検討対象,購入検討,許容,購入検討可否の確認対象 / 購入検討へ進めない,最重要 購入検討対象と調査候補が混ざって見える 候補と表示されると、買える銘柄と誤認される。
2026/05/26 10:24,issue_recovery_board_20260525.html,100,購入検討対象,購入検討,許容,購入検討可否の確認対象 / 購入検討へ進めない,一部回収済み 10社は「検証候補」とし、予備2社は購入検討対象ではないと明記。6月判定ルールも追加。 candidate_supplement_10_plan.html / supplement_reaction_check.html / candidate_june_rulebook.html
2026/05/26 10:24,issue_recovery_board_20260525.html,127,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,一部回収済み 100社前後の母集団から業種別中央値を作り、候補10社のPER/PBR/ROEを同業比較。比較数不足は未反映にした。 sector_adjustment_20260525.html / 299_sector_peer_medians.csv / 300_candidate_sector_adjustment.csv
2026/05/26 10:24,issue_recovery_board_20260525.html,136,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,一部回収済み 現候補10社のイベント集計・月次株価接続を確認。100社母集団の同時点検算と、候補10社の未接続データ補完表を作成。 backtest_validation_20260525.html / candidate_data_completion_20260526.html / 303_backtest_val
2026/05/26 10:24,issue_recovery_board_20260525.html,136,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,一部回収済み 現候補10社のイベント集計・月次株価接続を確認。100社母集団の同時点検算と、候補10社の未接続データ補完表を作成。 backtest_validation_20260525.html / candidate_data_completion_20260526.html / 303_backtest_valida
2026/05/26 10:24,issue_recovery_board_20260525.html,139,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,次工程では、イベント種類別の株価反応DBを広げる。 候補10社の平均接続率は83点。未接続タスク23件を補完キューで管理する。
2026/05/26 10:24,issue_recovery_board_20260525.html,145,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,一部回収済み S&amp;P500・日経平均を主比較として、候補10社の1年騰落率が最良比較対象+1%を超えるかを表示。TOPIXは未取得として計算から除外。 plus1_benchmark_connection_20260525.html / 309_benchmark_plus1_reference.csv / 310_candidate_plus1_gate.c
2026/05/26 10:24,issue_recovery_board_20260525.html,165,候補10社,検証候補,許容,10社検証候補 / 現行検証候補 / 検証候補別,tml / prepublish_wording_check_20260526.html / candidate_role_wording_20260526.html 次工程では、候補10社の未接続データを補完する。 候補という言葉は、検証候補・確認対象・保留・除外など役割を付けて扱う。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,146,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,候補表現ロール整理へ 候補10社データ補完へ メインページへ
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,167,購入検討対象,購入検討,許容,購入検討可否の確認対象 / 購入検討へ進めない,未取得データ混入 購入検討対象と検証候補の混同
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,175,購入検討対象,購入検討,許容,購入検討可否の確認対象 / 購入検討へ進めない,表示は検証候補に統一 予備候補は購入検討対象ではない 6月イベント後に再判定
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,175,予備候補,確認対象,許容,予備検証候補 / 追加確認対象 / 分割検証候補,表示は検証候補に統一 予備候補は購入検討対象ではない 6月イベント後に再判定
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,223,購入検討対象,購入検討,要確認,購入検討可否の確認対象 / 購入検討へ進めない,実績: 過去に効いたか 不明なら購入検討対象にしない
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,246,10社候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,10. 10社候補へ絞る 残った銘柄を、6月テスト候補として10社前後へ整理する。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,313,候補銘柄,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,PER/PBR/ROEを業種内中央値や同業比較で見ること。 業種別中央値と候補銘柄の比較表を作成済み。 次は過去検証・バックテストへ進む。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,320,現候補,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,イベント後の株価反応を、指数比で過去検証すること。 現候補10社のイベント集計・月次株価接続を確認。100社母集団の同時点検算と、候補10社の未接続データ補完表を作成。 次はイベント種類別の株価反応DBを広げる。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,320,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,イベント後の株価反応を、指数比で過去検証すること。 現候補10社のイベント集計・月次株価接続を確認。100社母集団の同時点検算と、候補10社の未接続データ補完表を作成。 次はイベント種類別の株価反応DBを広げる。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,322,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,次はイベント種類別の株価反応DBを広げる。 過去検証データが未接続の銘柄は購入検討用スコアの根拠にしない。未接続領域は候補10社データ補完表で管理する。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,327,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,S&P500、日経平均、TOPIX等を最低1%上回る見込みを比較できること。 S&P500・日経平均を主比較として、候補10社ごとの+1%合格線との差を作成。TOPIXは未取得として非混入。 次はイベント因果の誤解を避けるため、複合条件・イベント種類別検証へ進む。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,334,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,イベント名だけで加点せず、株価反応、指数超過、業界・個別・市場の複合条件を分けて確認すること。 イベント分類、株価反応接続、候補10社の複合条件ゲートを作成。分類のみイベントは点数へ混ぜない。 次は表示上の誤解・旧文言の継続監査へ進む。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,342,候補10社,検証候補,許容,10社検証候補 / 現行検証候補 / 検証候補別,現行導線10ファイルを監査し、強い旧表現11件を修正。資料区分台帳、公開前文言自動チェック、候補表現ロール整理を追加。 次は候補10社の未接続データを補完し、数値根拠の不足を減らす。 候補という言葉は、検証候補・確認対象・保留・除外など役割を付けて扱う。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,350,10社候補,検証候補,許容,10社検証候補 / 現行検証候補 / 検証候補別,の道筋は、 課題の固定 → 売買判断から隔離 → データ棚卸し → 数式監査 → 100社前後の母集団固定 → 量的選別 → 質的イベント検証 → 決算後反応 → 除外ゲート → 10社候補 → 6月イベント後判定 です。 このフローの途中で止まる項目がある場合、その銘柄は購入検討対象ではなく、調査候補または保留に戻します。
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,351,購入検討対象,購入検討,許容,購入検討可否の確認対象 / 購入検討へ進めない,の母集団固定 → 量的選別 → 質的イベント検証 → 決算後反応 → 除外ゲート → 10社候補 → 6月イベント後判定 です。 このフローの途中で止まる項目がある場合、その銘柄は購入検討対象ではなく、調査候補または保留に戻します。 次の作業: 完了: 現行導線の文言整理、未取得データ非加点、100社前後の母集団条件固定、業種別補正、過去検証の初期接続、+1%目標接続、イベント因果・複合条件チェック、表示文言監査、資料区分台帳、公開前文言自動チェック、候補表現ロール整理、候補10社の未接
2026/05/26 10:24,issue_resolution_flowchart_20260525.html,352,候補10社,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,00社前後の母集団条件固定、業種別補正、過去検証の初期接続、+1%目標接続、イベント因果・複合条件チェック、表示文言監査、資料区分台帳、公開前文言自動チェック、候補表現ロール整理、候補10社の未接続データ補完を実装済み。次は、イベント種類別の株価反応DBを広げます。 作成日: 2026年5月25日
2026/05/26 10:24,missing_data_score_gate_20260525.html,190,候補群,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,次は、100社母集団の条件固定へ進みます。どの条件で候補群を作ったかを固定し、後から都合よく入れ替えたように見えない構造にします。 更新日時: 2026/05/25 20:19
2026/05/26 10:24,plus1_benchmark_connection_20260525.html,100,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,309 比較対象CSV 310 候補別+1%CSV 311 配分ルールCSV
2026/05/26 10:24,plus1_benchmark_connection_20260525.html,195,候補別,検証候補,要役割付け,10社検証候補 / 現行検証候補 / 検証候補別,2. 候補別 +1%ゲート
2026/05/26 10:24,plus1_benchmark_connection_20260525.html,262,候補維持,保留,要役割付け,検証候補として継続 / 保留継続,比較上は有力 候補維持 1年実績が合格線を +6.25% 上回り、スコアと信頼度も最低条件を満たす。 大きな停止理由なし
