updated_at,fixed_universe_id,ticker,company,sector,theme,primary_purpose,usefulness_level,roles,quote_status,performance_status,chart_status,data_acquired_count,universe_score,reason_in_universe,fixed_status,fixed_reason
2026/05/25 20:39,11,9984.T,ソフトバンクG,投資/AI,AI・投資会社,時流テーマ,A 詳細確認,時流テーマ,取得,取得,取得,3,65,AI・投資会社の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,12,9434.T,ソフトバンク,通信,通信・配当,NISA 1年保有,B 観察継続,NISA 1年保有,取得,取得,取得,3,55,1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,13,9983.T,ファーストリテイリング,小売,海外成長・消費,指数比較・大型代表,A 詳細確認,指数比較・大型代表,取得,取得,取得,3,61,指数・投信と比べる基準になる大型代表,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,14,6098.T,リクルートHD,人材/IT,求人・HRテック,補助比較,B 観察継続,補助比較,取得,取得,取得,3,59,,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,15,7974.T,任天堂,ゲーム,新ハード・IP,指数比較・大型代表,B 観察継続,指数比較・大型代表,取得,取得,取得,3,36,指数・投信と比べる基準になる大型代表,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,16,6861.T,キーエンス,FA,高収益・自動化,指数比較・大型代表,B 観察継続,指数比較・大型代表,取得,取得,取得,3,50,指数・投信と比べる基準になる大型代表,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,17,6501.T,日立製作所,総合電機,電力・DX・インフラ,時流テーマ,B 観察継続,指数比較・大型代表 / 時流テーマ,取得,取得,取得,3,53,指数・投信と比べる基準になる大型代表 / 電力・DX・インフラの資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,18,6503.T,三菱電機,総合電機,電力制御・FA,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,58,電力制御・FAの資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,19,7011.T,三菱重工,重工/防衛,防衛・電力・宇宙,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,50,防衛・電力・宇宙の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,20,7012.T,川崎重工業,重工/防衛,防衛・水素,テンバガー探索,A 詳細確認,時流テーマ / テンバガー探索,取得,取得,取得,3,69,防衛・水素の資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,21,7013.T,IHI,重工/防衛,航空・防衛,テンバガー探索,B 観察継続,時流テーマ / テンバガー探索,取得,取得,取得,3,45,航空・防衛の資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,22,8035.T,東京エレクトロン,半導体装置,半導体サイクル,時流テーマ,A 詳細確認,時流テーマ,取得,取得,取得,3,60,半導体サイクルの資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,23,6857.T,アドバンテスト,半導体装置,AI半導体検査,時流テーマ,A 詳細確認,時流テーマ,取得,取得,取得,3,60,AI半導体検査の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,24,6920.T,レーザーテック,半導体装置,EUV検査,時流テーマ,A 詳細確認,時流テーマ,取得,取得,取得,3,70,EUV検査の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,25,6146.T,ディスコ,半導体装置,切断・研削装置,時流テーマ,A 詳細確認,時流テーマ,取得,取得,取得,3,60,切断・研削装置の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,26,6723.T,ルネサス,半導体,車載・産業半導体,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,21,車載・産業半導体の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,27,6526.T,ソシオネクスト,半導体,ASIC・AI半導体,テンバガー探索,B 観察継続,時流テーマ / テンバガー探索,取得,取得,取得,3,34,ASIC・AI半導体の資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,28,7735.T,SCREEN HD,半導体装置,洗浄装置,時流テーマ,A 詳細確認,時流テーマ,取得,取得,取得,3,66,洗浄装置の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,29,6981.T,村田製作所,電子部品,MLCC・スマホ/車載,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,58,MLCC・スマホ/車載の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,30,6762.T,TDK,電子部品,電池・電子部品,時流テーマ,A 詳細確認,時流テーマ,取得,取得,取得,3,66,電池・電子部品の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,31,6971.T,京セラ,電子部品,部品・通信,補助比較,B 観察継続,補助比較,取得,取得,取得,3,55,,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,32,6594.T,ニデック,モーター,EV・精密モーター,テンバガー探索,B 観察継続,時流テーマ / テンバガー探索,取得,取得,取得,3,50,EV・精密モーターの資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,33,6954.T,ファナック,FA,ロボット・工作機械,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,52,ロボット・工作機械の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,34,6273.T,SMC,FA,空圧機器・自動化,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,36,空圧機器・自動化の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,35,6645.T,オムロン,制御機器,FA・ヘルスケア,テンバガー探索,B 観察継続,時流テーマ / テンバガー探索,取得,取得,取得,3,54,FA・ヘルスケアの資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,36,5803.T,フジクラ,電線/光通信,データセンター・光ファイバー,テンバガー探索,A 詳細確認,時流テーマ / テンバガー探索,取得,取得,取得,3,68,データセンター・光ファイバーの資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,37,5802.T,住友電工,電線/車載,電線・自動車部品,時流テーマ,A 詳細確認,時流テーマ,取得,取得,取得,3,64,電線・自動車部品の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,38,5801.T,古河電工,電線/光通信,光ファイバー・電力線,テンバガー探索,A 詳細確認,時流テーマ / テンバガー探索,取得,取得,取得,3,68,光ファイバー・電力線の資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,39,6701.T,NEC,IT/防衛,AI・官公庁・防衛,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,48,AI・官公庁・防衛の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,40,6702.T,富士通,IT,DX・AI・サービス,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,53,DX・AI・サービスの資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,41,6367.T,ダイキン工業,空調,データセンター冷却・空調,時流テーマ,B 観察継続,時流テーマ,取得,取得,取得,3,56,データセンター冷却・空調の資金流入仮説を検証,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,42,6301.T,コマツ,建機,資源・インフラ,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,40,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,43,6326.T,クボタ,機械,農機・水インフラ,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,35,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,44,6902.T,デンソー,自動車部品,車載・電動化,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,52,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,45,6201.T,豊田自動織機,機械/車載,物流・車載,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,32,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,46,7267.T,ホンダ,自動車,二輪・自動車,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,30,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,47,7269.T,スズキ,自動車,インド・小型車,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,49,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,48,7270.T,SUBARU,自動車,米国販売,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,29,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,49,7202.T,いすゞ自動車,商用車,商用車・新興国,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,35,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,50,5108.T,ブリヂストン,タイヤ,タイヤ・価格転嫁,NISA 1年保有,B 観察継続,NISA 1年保有,取得,取得,取得,3,37,1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,51,8001.T,伊藤忠商事,商社,資源・非資源,景気・マクロ感応,B 観察継続,景気・マクロ感応,取得,取得,取得,3,40,金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,52,8031.T,三井物産,商社,資源・還元,景気・マクロ感応,B 観察継続,指数比較・大型代表 / 景気・マクロ感応,取得,取得,取得,3,42,指数・投信と比べる基準になる大型代表 / 金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,53,8058.T,三菱商事,商社,資源・還元,景気・マクロ感応,D 低優先・比較のみ,指数比較・大型代表 / 景気・マクロ感応,取得,取得失敗: HTTP 500,取得,2,43,指数・投信と比べる基準になる大型代表 / 金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,54,8053.T,住友商事,商社,資源・非資源,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,15,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,55,8002.T,丸紅,商社,資源・電力,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,12,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,56,1605.T,INPEX,エネルギー,原油・ガス,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,15,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,57,5020.T,ENEOS HD,エネルギー,原油・精製,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,12,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,58,5019.T,出光興産,エネルギー,原油・化学,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,12,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,59,4063.T,信越化学工業,化学,半導体材料・塩ビ,時流テーマ,C データ補完後に判定,時流テーマ,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,18,半導体材料・塩ビの資金流入仮説を検証 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,60,4188.T,三菱ケミカルG,化学,素材・石化,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,9,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,61,3402.T,東レ,素材,炭素繊維・繊維,時流テーマ,C データ補完後に判定,時流テーマ,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,7,炭素繊維・繊維の資金流入仮説を検証 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,62,3407.T,旭化成,素材/住宅,素材・住宅,時流テーマ,C データ補完後に判定,時流テーマ,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,12,素材・住宅の資金流入仮説を検証 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,63,4005.T,住友化学,化学,石化・農薬,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,15,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,64,4519.T,中外製薬,医薬品,医薬・ロシュ連携,NISA 1年保有,C データ補完後に判定,指数比較・大型代表 / NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,0,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,65,4568.T,第一三共,医薬品,がん領域,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,1,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,66,4503.T,アステラス製薬,医薬品,医薬・パイプライン,補助比較,D 低優先・比較のみ,補助比較,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,12,財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,67,4502.T,武田薬品,医薬品,大型医薬・配当,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,9,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,68,4523.T,エーザイ,医薬品,認知症薬,補助比較,D 低優先・比較のみ,補助比較,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,6,財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,69,4543.T,テルモ,医療機器,医療機器,時流テーマ,C データ補完後に判定,NISA 1年保有 / 時流テーマ,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,11,1年保有テストで安定性や配当/業績の確認対象 / 医療機器の資金流入仮説を検証 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,70,6869.T,シスメックス,医療機器,検査機器,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,4,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,71,2802.T,味の素,食品,食品・ヘルスケア,NISA 1年保有,C データ補完後に判定,指数比較・大型代表 / NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,19,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,72,2801.T,キッコーマン,食品,海外食品,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,7,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,73,2502.T,アサヒGHD,飲料,酒類・海外,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,1,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,74,2503.T,キリンHD,飲料,飲料・医薬,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,14,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,75,4452.T,花王,生活必需品,日用品・値上げ,NISA 1年保有,C データ補完後に判定,指数比較・大型代表 / NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,1,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,76,4911.T,資生堂,化粧品,中国・免税,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,12,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,77,8113.T,ユニ・チャーム,生活必需品,アジア・衛生用品,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,1,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,78,9843.T,ニトリHD,小売,家具・円高メリット,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,-3,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,79,7532.T,パン・パシフィック,小売,ディスカウント・インバウンド,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,1,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,80,4661.T,オリエンタルランド,レジャー,テーマパーク,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,3,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,81,2413.T,エムスリー,医療IT,医療DX,テンバガー探索,C データ補完後に判定,テンバガー探索,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,1,成長・変化率・時価総額余地を観察する枠 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,82,4689.T,LINEヤフー,ネット,広告・EC,テンバガー探索,C データ補完後に判定,テンバガー探索,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,4,成長・変化率・時価総額余地を観察する枠 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,83,4755.T,楽天グループ,ネット/通信,EC・金融・通信,テンバガー探索,C データ補完後に判定,テンバガー探索,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,5,成長・変化率・時価総額余地を観察する枠 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,84,4751.T,サイバーエージェント,ネット広告,広告・ゲーム,テンバガー探索,C データ補完後に判定,テンバガー探索,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,4,成長・変化率・時価総額余地を観察する枠 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,85,4385.T,メルカリ,ネット,フリマ・FinTech,テンバガー探索,C データ補完後に判定,テンバガー探索,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,17,成長・変化率・時価総額余地を観察する枠 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,86,2432.T,ディー・エヌ・エー,ゲーム/IT,ゲーム・スポーツ,テンバガー探索,C データ補完後に判定,テンバガー探索,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,7,成長・変化率・時価総額余地を観察する枠 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,87,7832.T,バンダイナムコHD,ゲーム/IP,IP・ゲーム,補助比較,D 低優先・比較のみ,補助比較,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,1,財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,88,9766.T,コナミグループ,ゲーム/IP,ゲーム・スポーツ,補助比較,D 低優先・比較のみ,補助比較,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,7,財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,89,9697.T,カプコン,ゲーム,ゲームIP,補助比較,D 低優先・比較のみ,補助比較,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,4,財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,90,3659.T,ネクソン,ゲーム,オンラインゲーム,テンバガー探索,C データ補完後に判定,テンバガー探索,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,-3,成長・変化率・時価総額余地を観察する枠 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,91,1925.T,大和ハウス工業,住宅/建設,住宅・物流施設,NISA 1年保有,C データ補完後に判定,NISA 1年保有,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,1,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,92,1801.T,大成建設,建設,インフラ・防災,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,5,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,93,1802.T,大林組,建設,インフラ・防災,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,6,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,94,1803.T,清水建設,建設,インフラ・防災,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,6,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
2026/05/25 20:39,95,1812.T,鹿島,建設,インフラ・防災,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1,10,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,確認待ち,役割または主要データ取得状況の確認が不足。
