rank,ticker,name,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,benchmark_score,risk_score,reliability,ev_score,implied_gate_penalty,pre_score_formula,final_score_formula,gate_notes,missing_items,data_sources,audit_note
11,6971.T,京セラ,監視,49.5,52.1,47.4,67.0,50.0,50.0,41.6,57.8,54.0,55.3,3.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務は補助データ,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
12,5020.T,ENEOS HD,監視,49.4,55.4,50.6,60.0,55.0,57.0,49.3,60.4,70.0,62.7,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
13,1605.T,INPEX,監視,48.6,53.6,57.2,49.0,50.0,50.0,59.0,50.9,62.0,67.9,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
14,8002.T,丸紅,監視,47.3,51.5,56.9,49.0,50.0,34.0,56.0,52.1,70.0,71.6,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合,補助財務 / 補助イベント反応 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
15,8725.T,MS&AD,監視,46.3,51.8,42.6,74.0,50.0,50.0,35.3,61.1,62.0,62.7,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
16,2802.T,味の素,監視,45.9,51.2,43.2,41.0,65.0,65.8,37.6,57.3,70.0,63.3,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
17,7012.T,川崎重工業,監視,45.6,50.9,46.0,69.0,55.0,34.8,47.6,43.6,70.0,63.4,7.1,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
18,5801.T,古河電工,監視,44.6,71.5,85.2,50.0,55.0,88.0,94.7,37.6,70.0,72.8,27.1,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で監視 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
19,9983.T,ファーストリテイリング,監視,44.0,49.6,46.6,47.0,50.0,59.7,37.5,56.1,62.0,59.4,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合,補助財務 / 補助イベント反応,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
20,8001.T,伊藤忠商事,監視,43.8,49.0,38.8,60.0,55.0,50.0,29.2,63.4,70.0,61.9,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合,補助財務 / 補助質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
21,1812.T,鹿島,監視,43.0,48.1,45.1,49.0,50.0,50.0,44.1,52.5,54.0,61.8,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
22,4063.T,信越化学工業,監視,41.2,47.1,41.9,42.0,55.0,56.1,33.1,45.6,78.0,55.0,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合 / PER,補助財務 / 補助イベント反応 / 補助質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
23,5019.T,出光興産,監視,40.8,46.3,40.7,49.0,50.0,50.0,36.0,56.8,54.0,57.3,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
24,6301.T,コマツ,監視,39.6,45.2,36.0,56.0,50.0,50.0,30.8,53.4,54.0,55.2,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
25,5802.T,住友電工,監視,36.9,62.0,73.1,62.0,55.0,37.6,78.0,45.5,78.0,75.5,27.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で監視 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
26,6857.T,アドバンテスト,監視,36.0,59.8,75.6,43.0,56.0,38.2,83.9,31.2,88.0,75.8,26.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で監視 / 財務partial / 価格過熱・反動・指数劣後注意,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
27,6981.T,村田製作所,監視,34.5,57.2,66.8,57.0,50.0,50.0,64.0,40.5,54.0,58.9,22.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で監視 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
28,8035.T,東京エレクトロン,監視,34.5,58.8,60.5,51.0,56.0,74.0,60.2,27.2,88.0,71.3,26.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で監視 / 財務partial / 価格過熱・反動・指数劣後注意,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
29,7735.T,SCREEN HD,監視,31.6,53.4,54.5,63.0,50.0,50.0,59.4,28.0,62.0,62.1,23.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で監視 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
30,6723.T,ルネサス,監視,29.9,52.2,62.1,43.0,50.0,50.0,66.1,23.3,54.0,57.2,23.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で監視 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
31,6920.T,レーザーテック,監視,21.8,48.1,61.3,50.0,50.0,12.9,58.6,24.7,70.0,53.0,27.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で監視 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 補助イベント反応 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
32,5803.T,フジクラ,買付不可,15.5,56.9,78.8,43.0,50.0,12.3,100.0,19.5,88.0,74.9,43.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務partial / 価格過熱・反動・指数劣後注意,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
33,8766.T,東京海上HD,買付不可,11.1,50.7,41.1,72.0,55.0,50.0,33.0,51.0,62.0,60.7,41.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
34,7011.T,三菱重工,買付不可,11.0,51.6,44.5,43.0,56.0,66.2,46.3,47.2,88.0,75.7,44.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務partial / 価格過熱・反動・指数劣後注意,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
35,6146.T,ディスコ,買付不可,10.0,51.6,55.8,43.0,58.0,41.2,59.6,26.5,88.0,68.8,44.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務partial / 価格過熱・反動・指数劣後注意,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
36,7013.T,IHI,買付不可,9.9,48.8,39.9,74.0,50.0,50.0,44.2,28.2,54.0,63.3,40.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
37,6954.T,ファナック,買付不可,9.2,49.8,46.2,57.0,50.0,50.0,43.8,45.4,66.0,52.3,41.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / チャンネル質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
38,9984.T,ソフトバンクG,買付不可,8.5,52.4,63.7,69.0,50.0,15.2,64.6,17.0,70.0,59.8,44.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER,補助財務 / 補助イベント反応 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
39,9434.T,ソフトバンク,買付不可,5.8,46.1,25.5,80.0,50.0,50.0,13.2,76.1,54.0,50.7,40.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
40,9432.T,NTT,買付不可,5.4,45.9,23.8,86.0,50.0,50.0,9.5,72.5,54.0,49.1,40.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
41,1802.T,大林組,買付不可,5.1,48.3,42.2,49.0,55.0,50.0,41.4,55.3,62.0,61.3,45.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
42,1801.T,大成建設,買付不可,4.9,48.1,45.6,49.0,50.0,50.0,49.1,43.8,54.0,60.8,45.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
43,6367.T,ダイキン工業,買付不可,4.1,45.2,29.9,75.0,50.0,50.0,20.8,43.3,62.0,44.7,41.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
44,9433.T,KDDI,買付不可,3.9,43.9,28.4,65.0,65.0,23.5,14.4,75.5,70.0,51.1,41.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER,補助財務 / 補助イベント反応 / 補助質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
45,1803.T,清水建設,買付不可,3.7,47.0,41.9,49.0,50.0,50.0,42.0,53.3,54.0,58.8,45.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
46,6861.T,キーエンス,買付不可,2.8,43.0,28.5,65.0,48.0,50.0,16.2,50.1,66.0,48.7,41.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER,補助財務 / チャンネル質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
47,3407.T,旭化成,買付不可,2.4,46.3,40.4,49.0,50.0,50.0,34.5,59.6,54.0,54.4,45.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
48,6098.T,リクルートHD,買付不可,2.0,42.2,30.4,69.0,50.0,50.0,18.2,20.7,62.0,47.5,40.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
49,7269.T,スズキ,買付不可,1.2,41.1,21.2,72.0,50.0,50.0,13.8,46.8,54.0,48.8,41.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
50,4502.T,武田薬品,買付不可,0.0,42.5,28.6,49.0,50.0,50.0,19.0,71.9,62.0,51.4,43.7,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
51,6701.T,NEC,買付不可,0.0,44.5,32.4,68.0,48.0,50.0,26.6,34.2,66.0,57.6,46.3,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意 / 長期探索テーマ,公式決算原本照合 / PER,補助財務 / チャンネル質的,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
52,6201.T,豊田自動織機,買付不可,0.0,40.2,29.4,46.0,50.0,50.0,19.5,51.4,54.0,50.5,41.6,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
53,5108.T,ブリヂストン,買付不可,0.0,41.7,25.4,59.0,50.0,50.0,14.8,64.2,54.0,50.0,42.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / 売上前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
54,2503.T,キリンHD,買付不可,0.0,42.8,31.0,49.0,50.0,50.0,20.0,70.4,54.0,50.7,43.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
55,7202.T,いすゞ自動車,買付不可,0.0,42.2,25.9,62.0,50.0,50.0,19.5,56.3,54.0,51.2,43.5,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,公式決算原本照合,補助財務,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
