priority,ticker,name,source,theme,current_system_status,expansion_status,known_numbers,main_missing,next_action,client_explanation
15,8053.T,住友商事,補充スクリーニング,資源・非資源,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア53.6 / 成長0 / 下落耐性49.6 / PER / PBR / ROE% / 利益前年比% / 1年92.3%,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
16,4502.T,武田薬品,補充スクリーニング,大型医薬・配当,通常A未達（財務不足）,既存100内の再確認候補,補充スコア53.4 / 成長0 / 下落耐性60.2 / PER / PBR / ROE% / 利益前年比% / 1年26.5%,公式決算・PER/PBR/ROE未通過 / 20営業日反応が未到達 / 質的材料が公式実績層未達 / リスクスコア高め(71.9) / 期待値が低い(0.72%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
17,4755.T,楽天グループ,補充スクリーニング,EC・金融・通信,通常A未達（財務不足）,既存100内の再確認候補,補充スコア53.4 / 成長0 / 下落耐性68.8 / PER / PBR / ROE% / 利益前年比% / 1年-7.9%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(21.4) / 期待値が低い(-7.55%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
18,6367.T,ダイキン工業,補充スクリーニング,AIデータセンター冷却・空調,通常A未達（イベント不足）,既存100内の再確認候補,補充スコア52.6 / 成長25.5 / 下落耐性70.2 / PER24.97 / PBR2.14 / ROE9.1% / 利益前年比3.3% / 1年49.6%,イベント後反応が通常A水準未達 / 質的材料はあるが、通常Aの単独根拠にしない扱い / 期待値が低い(-2.63%) / 信頼度不足(62) / 過熱または5年最大下落が大きい,決算後20営業日または6月イベント後の指数比を再取得する。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
19,9020.T,JR東日本,補充スクリーニング,交通・インバウンド,通常A未達（財務不足）,既存100内の再確認候補,補充スコア52.5 / 成長0 / 下落耐性59 / PER / PBR / ROE% / 利益前年比% / 1年20.8%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-1.14%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
20,9766.T,コナミグループ,補充スクリーニング,ゲーム・スポーツ,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア51.6 / 成長0 / 下落耐性59.1 / PER / PBR / ROE% / 利益前年比% / 1年3.7%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
21,4503.T,アステラス製薬,補充スクリーニング,医薬・パイプライン,通常A未達（財務不足）,既存100内の再確認候補,補充スコア51.5 / 成長0 / 下落耐性52.5 / PER / PBR / ROE% / 利益前年比% / 1年66.6%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-1.21%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
22,2432.T,ディー・エヌ・エー,補充スクリーニング,ゲーム・スポーツ,通常A未達（財務不足）,既存100内の再確認候補,補充スコア50.3 / 成長0 / 下落耐性56.2 / PER / PBR / ROE% / 利益前年比% / 1年-4.1%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-4.15%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
23,6902.T,デンソー,補充スクリーニング,車載・電動化,通常A未達（財務不足）,既存100内の再確認候補,補充スコア50 / 成長38.2 / 下落耐性36.9 / PER13.06 / PBR0.91 / ROE8.48% / 利益前年比6.5% / 1年-3.3%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.33%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
24,4543.T,テルモ,補充スクリーニング,医療機器,通常A未達（財務不足）,既存100内の再確認候補,補充スコア49.6 / 成長0 / 下落耐性55.1 / PER / PBR / ROE% / 利益前年比% / 1年-13.5%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.96%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
25,7013.T,IHI,補充スクリーニング,航空・防衛,通常A未達（財務不足）,既存100内の再確認候補,補充スコア49.4 / 成長57.7 / 下落耐性23.2 / PER16.88 / PBR4.27 / ROE28.39% / 利益前年比15.3% / 1年36.6%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(28.2) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
26,8035.T,東京エレクトロン,補充スクリーニング,半導体サイクル,通常A未達（イベント不足）,既存100内の再確認候補,補充スコア49.2 / 成長41.8 / 下落耐性49 / PER / PBR10.8 / ROE29.56% / 利益前年比-10.4% / 1年108.9%,決算後1日・5日・20営業日の指数比未取得 / リスクスコア不足(27.2) / 過熱または5年最大下落が大きい,決算後20営業日または6月イベント後の指数比を再取得する。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
27,4689.T,LINEヤフー,補充スクリーニング,広告・EC,通常A未達（財務不足）,既存100内の再確認候補,補充スコア48.9 / 成長0 / 下落耐性58.1 / PER / PBR / ROE% / 利益前年比% / 1年-19.6%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(18.5) / 期待値が低い(-7.02%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
28,2801.T,キッコーマン,補充スクリーニング,海外食品,通常A未達（財務不足）,既存100内の再確認候補,補充スコア48.8 / 成長0 / 下落耐性53.4 / PER / PBR / ROE% / 利益前年比% / 1年4.4%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.4%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
29,6201.T,豊田自動織機,補充スクリーニング,物流・車載,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア48.2 / 成長12 / 下落耐性70.1 / PER / PBR0.91 / ROE3.83% / 利益前年比-38.2% / 1年14.4%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 期待値が低い(0.24%) / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
30,4005.T,住友化学,補充スクリーニング,石化・農薬,通常A未達（財務不足）,既存100内の再確認候補,補充スコア47.1 / 成長0 / 下落耐性39.9 / PER / PBR / ROE% / 利益前年比% / 1年76.1%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.16%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
31,8001.T,伊藤忠商事,補充スクリーニング,資源・非資源,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア47 / 成長17.7 / 下落耐性53.4 / PER14.35 / PBR2.07 / ROE14.59% / 利益前年比-39.2% / 1年28.5%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
32,3407.T,旭化成,補充スクリーニング,素材・住宅,通常A未達（イベント不足）,既存100内の再確認候補,補充スコア46.7 / 成長0 / 下落耐性41 / PER / PBR / ROE% / 利益前年比% / 1年71.5%,イベント後反応が通常A水準未達 / 信頼度不足(54),決算後20営業日または6月イベント後の指数比を再取得する。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
33,7269.T,スズキ,補充スクリーニング,インド・小型車,通常A未達（財務不足）,既存100内の再確認候補,補充スコア46.5 / 成長36.4 / 下落耐性19.8 / PER9.06 / PBR1.02 / ROE13.83% / 利益前年比-3.1% / 1年-0.7%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.58%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
34,7735.T,SCREEN HD,補充スクリーニング,洗浄装置,通常A未達（財務不足）,既存100内の再確認候補,補充スコア46.4 / 成長30.6 / 下落耐性39.1 / PER18.64 / PBR4.21 / ROE20.28% / 利益前年比-9.7% / 1年106.9%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(28) / 信頼度不足(62) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
35,4911.T,資生堂,補充スクリーニング,中国・免税,通常A未達（財務不足）,既存100内の再確認候補,補充スコア45.9 / 成長0 / 下落耐性47.8 / PER / PBR / ROE% / 利益前年比% / 1年22.2%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(25) / 期待値が低い(-8.3%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
36,5019.T,出光興産,補充スクリーニング,原油・化学,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア45.8 / 成長0 / 下落耐性42.2 / PER / PBR / ROE% / 利益前年比% / 1年55.6%,決算後20営業日で指数比が弱い / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
37,4751.T,サイバーエージェント,補充スクリーニング,広告・ゲーム,通常A未達（財務不足）,既存100内の再確認候補,補充スコア45.5 / 成長0 / 下落耐性51.3 / PER / PBR / ROE% / 利益前年比% / 1年-5.7%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(20.9) / 期待値が低い(-7.81%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
38,6861.T,キーエンス,補充スクリーニング,高収益・自動化,通常A未達（財務不足）,既存100内の再確認候補,補充スコア45.4 / 成長43.6 / 下落耐性45.3 / PER / PBR5.4 / ROE13.53% / 利益前年比8.4% / 1年24.4%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.66%) / 信頼度不足(66),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
39,1605.T,INPEX,補充スクリーニング,原油・ガス,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア45.3 / 成長0 / 下落耐性37.8 / PER / PBR / ROE% / 利益前年比% / 1年102.4%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(62),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
40,5108.T,ブリヂストン,補充スクリーニング,タイヤ・価格転嫁,通常A未達（財務不足）,既存100内の再確認候補,補充スコア45.3 / 成長9.8 / 下落耐性52.4 / PER12.53 / PBR1.15 / ROE8.85% / 利益前年比-14% / 1年10.1%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.02%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
41,8031.T,三井物産,補充スクリーニング,資源・還元,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア45.3 / 成長10.4 / 下落耐性53.2 / PER17.54 / PBR1.84 / ROE10.22% / 利益前年比-4.2% / 1年90.6%,決算後20営業日で指数比が弱い / 質的材料はあるが、通常Aの単独根拠にしない扱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
42,8058.T,三菱商事,補充スクリーニング,資源・還元,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア45 / 成長17.5 / 下落耐性50.7 / PER18.06 / PBR2.1 / ROE8.51% / 利益前年比% / 1年84.9%,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
43,4452.T,花王,補充スクリーニング,日用品・値上げ,通常A未達（財務不足）,既存100内の再確認候補,補充スコア44.6 / 成長0 / 下落耐性51.3 / PER / PBR / ROE% / 利益前年比% / 1年-6%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-3.52%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
44,2502.T,アサヒGHD,補充スクリーニング,酒類・海外,通常A未達（財務不足）,既存100内の再確認候補,補充スコア44.3 / 成長0 / 下落耐性52.8 / PER / PBR / ROE% / 利益前年比% / 1年-16%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-2.96%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
45,4523.T,エーザイ,補充スクリーニング,認知症薬,通常A未達（財務不足）,既存100内の再確認候補,補充スコア44 / 成長0 / 下落耐性48.9 / PER / PBR / ROE% / 利益前年比% / 1年7.2%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(26.7) / 期待値が低い(-8.05%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
46,6758.T,ソニーグループ,補充スクリーニング,ゲーム・音楽・画像センサー,通常A未達（財務不足）,既存100内の再確認候補,補充スコア43.2 / 成長22.7 / 下落耐性50.7 / PER18.12 / PBR2.59 / ROE-4.01% / 利益前年比2.9% / 1年-3.1%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.95%) / 信頼度不足(62),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
47,6645.T,オムロン,補充スクリーニング,FA・ヘルスケア,通常A未達（財務不足）,既存100内の再確認候補,補充スコア43 / 成長33.2 / 下落耐性35.8 / PER38.7 / PBR1.27 / ROE3.54% / 利益前年比10.9% / 1年40%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(28) / 期待値が低い(-6.5%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
48,6526.T,ソシオネクスト,補充スクリーニング,ASIC・AI半導体,通常A未達（財務不足）,既存100内の再確認候補,補充スコア42.9 / 成長13.3 / 下落耐性74.1 / PER46.44 / PBR3.49 / ROE6.47% / 利益前年比-50.6% / 1年38.6%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(7.2) / 期待値が低い(-2.36%) / 信頼度不足(54) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
49,7011.T,三菱重工,補充スクリーニング,防衛・電力・宇宙,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア42.6 / 成長50.1 / 下落耐性37.9 / PER34.66 / PBR4.26 / ROE12.22% / 利益前年比26.7% / 1年30.7%,決算後20営業日で指数比が弱い,次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
50,7202.T,いすゞ自動車,補充スクリーニング,商用車・新興国,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア41.5 / 成長18.1 / 下落耐性21.9 / PER9.47 / PBR1.02 / ROE9.46% / 利益前年比-11.2% / 1年14.9%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 期待値が低い(0.6%) / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
51,1812.T,鹿島,補充スクリーニング,インフラ・防災,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア41.4 / 成長0 / 下落耐性38.9 / PER / PBR / ROE% / 利益前年比% / 1年57.7%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
52,6301.T,コマツ,補充スクリーニング,資源・インフラ,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア41.3 / 成長13.5 / 下落耐性37.9 / PER17.81 / PBR1.61 / ROE11.26% / 利益前年比-13.7% / 1年44.3%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
53,7974.T,任天堂,補充スクリーニング,新ハード・IP,通常A未達（財務不足）,既存100内の再確認候補,補充スコア41.2 / 成長59.9 / 下落耐性7.8 / PER27.24 / PBR2.86 / ROE14.94% / 利益前年比27.5% / 1年-35.1%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(13.2) / 期待値が低い(-5.23%) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
54,6326.T,クボタ,補充スクリーニング,農機・水インフラ,通常A未達（財務不足）,既存100内の再確認候補,補充スコア40.9 / 成長8 / 下落耐性36.8 / PER14.74 / PBR1.15 / ROE7.32% / 利益前年比-15.9% / 1年66.8%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / 期待値が低い(-0.7%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
55,6981.T,村田製作所,補充スクリーニング,MLCC・スマホ/車載,通常A未達（条件付き）,既存100内の再確認候補,補充スコア39.8 / 成長30.9 / 下落耐性46.6 / PER41.64 / PBR4.49 / ROE8.83% / 利益前年比0.8% / 1年223.7%,過熱または5年最大下落が大きい,過熱、最大下落、信頼度、当日価格を追加確認する。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
